text_id,display_order,evidence_id,status
title-pair-conscientiousness-low--extraversion-low-reason,1,evidence-title-rule-v1,reviewed
title-pair-conscientiousness-high--agreeableness-high-subtitle,1,evidence-title-rule-v1,reviewed
title-pair-conscientiousness-high--agreeableness-high-reason,1,evidence-title-rule-v1,reviewed
title-pair-conscientiousness-high--agreeableness-low-subtitle,1,evidence-title-rule-v1,reviewed
title-pair-conscientiousness-high--agreeableness-low-reason,1,evidence-title-rule-v1,reviewed
title-pair-conscientiousness-low--agreeableness-high-subtitle,1,evidence-title-rule-v1,reviewed
title-pair-conscientiousness-low--agreeableness-high-reason,1,evidence-title-rule-v1,reviewed
title-pair-conscientiousness-low--agreeableness-low-subtitle,1,evidence-title-rule-v1,reviewed
title-pair-conscientiousness-low--agreeableness-low-reason,1,evidence-title-rule-v1,reviewed
title-pair-conscientiousness-high--emotionalStability-high-subtitle,1,evidence-title-rule-v1,reviewed
title-pair-conscientiousness-high--emotionalStability-high-reason,1,evidence-title-rule-v1,reviewed
title-pair-conscientiousness-high--emotionalStability-low-subtitle,1,evidence-title-rule-v1,reviewed
title-pair-conscientiousness-high--emotionalStability-low-reason,1,evidence-title-rule-v1,reviewed
title-pair-conscientiousness-low--emotionalStability-high-subtitle,1,evidence-title-rule-v1,reviewed
title-pair-conscientiousness-low--emotionalStability-high-reason,1,evidence-title-rule-v1,reviewed
title-pair-conscientiousness-low--emotionalStability-low-subtitle,1,evidence-title-rule-v1,reviewed
title-pair-conscientiousness-low--emotionalStability-low-reason,1,evidence-title-rule-v1,reviewed
title-pair-extraversion-high--agreeableness-high-subtitle,1,evidence-title-rule-v1,reviewed
title-pair-extraversion-high--agreeableness-high-reason,1,evidence-title-rule-v1,reviewed
title-pair-extraversion-high--agreeableness-low-subtitle,1,evidence-title-rule-v1,reviewed
title-pair-extraversion-high--agreeableness-low-reason,1,evidence-title-rule-v1,reviewed
title-pair-extraversion-low--agreeableness-high-subtitle,1,evidence-title-rule-v1,reviewed
title-pair-extraversion-low--agreeableness-high-reason,1,evidence-title-rule-v1,reviewed
title-pair-extraversion-low--agreeableness-low-subtitle,1,evidence-title-rule-v1,reviewed
title-pair-extraversion-low--agreeableness-low-reason,1,evidence-title-rule-v1,reviewed
title-pair-extraversion-high--emotionalStability-high-subtitle,1,evidence-title-rule-v1,reviewed
title-pair-extraversion-high--emotionalStability-high-reason,1,evidence-title-rule-v1,reviewed
title-pair-extraversion-high--emotionalStability-low-subtitle,1,evidence-title-rule-v1,reviewed
title-pair-extraversion-high--emotionalStability-low-reason,1,evidence-title-rule-v1,reviewed
title-pair-extraversion-low--emotionalStability-high-subtitle,1,evidence-title-rule-v1,reviewed
title-pair-extraversion-low--emotionalStability-high-reason,1,evidence-title-rule-v1,reviewed
title-pair-extraversion-low--emotionalStability-low-subtitle,1,evidence-title-rule-v1,reviewed
title-pair-extraversion-low--emotionalStability-low-reason,1,evidence-title-rule-v1,reviewed
title-pair-agreeableness-high--emotionalStability-high-subtitle,1,evidence-title-rule-v1,reviewed
title-pair-agreeableness-high--emotionalStability-high-reason,1,evidence-title-rule-v1,reviewed
title-pair-agreeableness-high--emotionalStability-low-subtitle,1,evidence-title-rule-v1,reviewed
title-pair-agreeableness-high--emotionalStability-low-reason,1,evidence-title-rule-v1,reviewed
title-pair-agreeableness-low--emotionalStability-high-subtitle,1,evidence-title-rule-v1,reviewed
title-pair-agreeableness-low--emotionalStability-high-reason,1,evidence-title-rule-v1,reviewed
title-pair-agreeableness-low--emotionalStability-low-subtitle,1,evidence-title-rule-v1,reviewed
title-pair-agreeableness-low--emotionalStability-low-reason,1,evidence-title-rule-v1,reviewed
preview20-intellectImagination-high-observation,1,evidence-ipip-japanese-markers,reviewed
preview20-intellectImagination-high-observation,2,evidence-mini-ipip-selection,reviewed
preview20-intellectImagination-middle-observation,1,evidence-ipip-japanese-markers,reviewed
preview20-intellectImagination-middle-observation,2,evidence-mini-ipip-selection,reviewed
preview20-intellectImagination-low-observation,1,evidence-ipip-japanese-markers,reviewed
preview20-intellectImagination-low-observation,2,evidence-mini-ipip-selection,reviewed
detail50-intellectImagination-high-observation,1,evidence-ipip-japanese-markers,reviewed
detail50-intellectImagination-high-observation,2,evidence-ipip-50-item-scale,reviewed
detail50-intellectImagination-high-strength,1,evidence-result-presentation-contract,reviewed
detail50-intellectImagination-high-tradeoff,1,evidence-result-presentation-contract,reviewed
detail50-intellectImagination-high-work,1,evidence-result-presentation-contract,reviewed
detail50-intellectImagination-high-relationship,1,evidence-result-presentation-contract,reviewed
detail50-intellectImagination-high-stress,1,evidence-result-presentation-contract,reviewed
detail50-intellectImagination-high-question,1,evidence-result-presentation-contract,reviewed
detail50-intellectImagination-high-action,1,evidence-result-presentation-contract,reviewed
detail50-intellectImagination-middle-observation,1,evidence-ipip-japanese-markers,reviewed
detail50-intellectImagination-middle-observation,2,evidence-ipip-50-item-scale,reviewed
detail50-intellectImagination-middle-strength,1,evidence-result-presentation-contract,reviewed
detail50-intellectImagination-middle-tradeoff,1,evidence-result-presentation-contract,reviewed
detail50-intellectImagination-middle-work,1,evidence-result-presentation-contract,reviewed
detail50-intellectImagination-middle-relationship,1,evidence-result-presentation-contract,reviewed
detail50-intellectImagination-middle-stress,1,evidence-result-presentation-contract,reviewed
detail50-intellectImagination-middle-question,1,evidence-result-presentation-contract,reviewed
detail50-intellectImagination-middle-action,1,evidence-result-presentation-contract,reviewed
detail50-intellectImagination-low-observation,1,evidence-ipip-japanese-markers,reviewed
detail50-intellectImagination-low-observation,2,evidence-ipip-50-item-scale,reviewed
detail50-intellectImagination-low-strength,1,evidence-result-presentation-contract,reviewed
detail50-intellectImagination-low-tradeoff,1,evidence-result-presentation-contract,reviewed
detail50-intellectImagination-low-work,1,evidence-result-presentation-contract,reviewed
detail50-intellectImagination-low-relationship,1,evidence-result-presentation-contract,reviewed
detail50-intellectImagination-low-stress,1,evidence-result-presentation-contract,reviewed
detail50-intellectImagination-low-question,1,evidence-result-presentation-contract,reviewed
detail50-intellectImagination-low-action,1,evidence-result-presentation-contract,reviewed
preview20-conscientiousness-high-observation,1,evidence-ipip-japanese-markers,reviewed
preview20-conscientiousness-high-observation,2,evidence-mini-ipip-selection,reviewed
preview20-conscientiousness-middle-observation,1,evidence-ipip-japanese-markers,reviewed
preview20-conscientiousness-middle-observation,2,evidence-mini-ipip-selection,reviewed
preview20-conscientiousness-low-observation,1,evidence-ipip-japanese-markers,reviewed
preview20-conscientiousness-low-observation,2,evidence-mini-ipip-selection,reviewed
detail50-conscientiousness-high-observation,1,evidence-ipip-japanese-markers,reviewed
detail50-conscientiousness-high-observation,2,evidence-ipip-50-item-scale,reviewed
detail50-conscientiousness-high-strength,1,evidence-result-presentation-contract,reviewed
detail50-conscientiousness-high-tradeoff,1,evidence-result-presentation-contract,reviewed
detail50-conscientiousness-high-work,1,evidence-result-presentation-contract,reviewed
detail50-conscientiousness-high-relationship,1,evidence-result-presentation-contract,reviewed
detail50-conscientiousness-high-stress,1,evidence-result-presentation-contract,reviewed
detail50-conscientiousness-high-question,1,evidence-result-presentation-contract,reviewed
detail50-conscientiousness-high-action,1,evidence-result-presentation-contract,reviewed
detail50-conscientiousness-middle-observation,1,evidence-ipip-japanese-markers,reviewed
detail50-conscientiousness-middle-observation,2,evidence-ipip-50-item-scale,reviewed
detail50-conscientiousness-middle-strength,1,evidence-result-presentation-contract,reviewed
detail50-conscientiousness-middle-tradeoff,1,evidence-result-presentation-contract,reviewed
detail50-conscientiousness-middle-work,1,evidence-result-presentation-contract,reviewed
detail50-conscientiousness-middle-relationship,1,evidence-result-presentation-contract,reviewed
detail50-conscientiousness-middle-stress,1,evidence-result-presentation-contract,reviewed
detail50-conscientiousness-middle-question,1,evidence-result-presentation-contract,reviewed
detail50-conscientiousness-middle-action,1,evidence-result-presentation-contract,reviewed
detail50-conscientiousness-low-observation,1,evidence-ipip-japanese-markers,reviewed
detail50-conscientiousness-low-observation,2,evidence-ipip-50-item-scale,reviewed
detail50-conscientiousness-low-strength,1,evidence-result-presentation-contract,reviewed
detail50-conscientiousness-low-tradeoff,1,evidence-result-presentation-contract,reviewed
detail50-conscientiousness-low-work,1,evidence-result-presentation-contract,reviewed
detail50-conscientiousness-low-relationship,1,evidence-result-presentation-contract,reviewed
detail50-conscientiousness-low-stress,1,evidence-result-presentation-contract,reviewed
detail50-conscientiousness-low-question,1,evidence-result-presentation-contract,reviewed
detail50-conscientiousness-low-action,1,evidence-result-presentation-contract,reviewed
preview20-extraversion-high-observation,1,evidence-ipip-japanese-markers,reviewed
preview20-extraversion-high-observation,2,evidence-mini-ipip-selection,reviewed
preview20-extraversion-middle-observation,1,evidence-ipip-japanese-markers,reviewed
preview20-extraversion-middle-observation,2,evidence-mini-ipip-selection,reviewed
preview20-extraversion-low-observation,1,evidence-ipip-japanese-markers,reviewed
preview20-extraversion-low-observation,2,evidence-mini-ipip-selection,reviewed
detail50-extraversion-high-observation,1,evidence-ipip-japanese-markers,reviewed
detail50-extraversion-high-observation,2,evidence-ipip-50-item-scale,reviewed
detail50-extraversion-high-strength,1,evidence-result-presentation-contract,reviewed
detail50-extraversion-high-tradeoff,1,evidence-result-presentation-contract,reviewed
detail50-extraversion-high-work,1,evidence-result-presentation-contract,reviewed
detail50-extraversion-high-relationship,1,evidence-result-presentation-contract,reviewed
detail50-extraversion-high-stress,1,evidence-result-presentation-contract,reviewed
detail50-extraversion-high-question,1,evidence-result-presentation-contract,reviewed
detail50-extraversion-high-action,1,evidence-result-presentation-contract,reviewed
detail50-extraversion-middle-observation,1,evidence-ipip-japanese-markers,reviewed
detail50-extraversion-middle-observation,2,evidence-ipip-50-item-scale,reviewed
detail50-extraversion-middle-strength,1,evidence-result-presentation-contract,reviewed
detail50-extraversion-middle-tradeoff,1,evidence-result-presentation-contract,reviewed
detail50-extraversion-middle-work,1,evidence-result-presentation-contract,reviewed
detail50-extraversion-middle-relationship,1,evidence-result-presentation-contract,reviewed
detail50-extraversion-middle-stress,1,evidence-result-presentation-contract,reviewed
detail50-extraversion-middle-question,1,evidence-result-presentation-contract,reviewed
detail50-extraversion-middle-action,1,evidence-result-presentation-contract,reviewed
detail50-extraversion-low-observation,1,evidence-ipip-japanese-markers,reviewed
detail50-extraversion-low-observation,2,evidence-ipip-50-item-scale,reviewed
detail50-extraversion-low-strength,1,evidence-result-presentation-contract,reviewed
detail50-extraversion-low-tradeoff,1,evidence-result-presentation-contract,reviewed
detail50-extraversion-low-work,1,evidence-result-presentation-contract,reviewed
detail50-extraversion-low-relationship,1,evidence-result-presentation-contract,reviewed
detail50-extraversion-low-stress,1,evidence-result-presentation-contract,reviewed
detail50-extraversion-low-question,1,evidence-result-presentation-contract,reviewed
detail50-extraversion-low-action,1,evidence-result-presentation-contract,reviewed
preview20-agreeableness-high-observation,1,evidence-ipip-japanese-markers,reviewed
preview20-agreeableness-high-observation,2,evidence-mini-ipip-selection,reviewed
preview20-agreeableness-middle-observation,1,evidence-ipip-japanese-markers,reviewed
preview20-agreeableness-middle-observation,2,evidence-mini-ipip-selection,reviewed
preview20-agreeableness-low-observation,1,evidence-ipip-japanese-markers,reviewed
preview20-agreeableness-low-observation,2,evidence-mini-ipip-selection,reviewed
detail50-agreeableness-high-observation,1,evidence-ipip-japanese-markers,reviewed
detail50-agreeableness-high-observation,2,evidence-ipip-50-item-scale,reviewed
detail50-agreeableness-high-strength,1,evidence-result-presentation-contract,reviewed
detail50-agreeableness-high-tradeoff,1,evidence-result-presentation-contract,reviewed
detail50-agreeableness-high-work,1,evidence-result-presentation-contract,reviewed
detail50-agreeableness-high-relationship,1,evidence-result-presentation-contract,reviewed
detail50-agreeableness-high-stress,1,evidence-result-presentation-contract,reviewed
detail50-agreeableness-high-question,1,evidence-result-presentation-contract,reviewed
detail50-agreeableness-high-action,1,evidence-result-presentation-contract,reviewed
detail50-agreeableness-middle-observation,1,evidence-ipip-japanese-markers,reviewed
detail50-agreeableness-middle-observation,2,evidence-ipip-50-item-scale,reviewed
detail50-agreeableness-middle-strength,1,evidence-result-presentation-contract,reviewed
detail50-agreeableness-middle-tradeoff,1,evidence-result-presentation-contract,reviewed
detail50-agreeableness-middle-work,1,evidence-result-presentation-contract,reviewed
detail50-agreeableness-middle-relationship,1,evidence-result-presentation-contract,reviewed
detail50-agreeableness-middle-stress,1,evidence-result-presentation-contract,reviewed
detail50-agreeableness-middle-question,1,evidence-result-presentation-contract,reviewed
detail50-agreeableness-middle-action,1,evidence-result-presentation-contract,reviewed
detail50-agreeableness-low-observation,1,evidence-ipip-japanese-markers,reviewed
detail50-agreeableness-low-observation,2,evidence-ipip-50-item-scale,reviewed
detail50-agreeableness-low-strength,1,evidence-result-presentation-contract,reviewed
detail50-agreeableness-low-tradeoff,1,evidence-result-presentation-contract,reviewed
detail50-agreeableness-low-work,1,evidence-result-presentation-contract,reviewed
detail50-agreeableness-low-relationship,1,evidence-result-presentation-contract,reviewed
detail50-agreeableness-low-stress,1,evidence-result-presentation-contract,reviewed
detail50-agreeableness-low-question,1,evidence-result-presentation-contract,reviewed
detail50-agreeableness-low-action,1,evidence-result-presentation-contract,reviewed
preview20-emotionalStability-high-observation,1,evidence-ipip-japanese-markers,reviewed
preview20-emotionalStability-high-observation,2,evidence-mini-ipip-selection,reviewed
preview20-emotionalStability-middle-observation,1,evidence-ipip-japanese-markers,reviewed
preview20-emotionalStability-middle-observation,2,evidence-mini-ipip-selection,reviewed
preview20-emotionalStability-low-observation,1,evidence-ipip-japanese-markers,reviewed
preview20-emotionalStability-low-observation,2,evidence-mini-ipip-selection,reviewed
detail50-emotionalStability-high-observation,1,evidence-ipip-japanese-markers,reviewed
detail50-emotionalStability-high-observation,2,evidence-ipip-50-item-scale,reviewed
detail50-emotionalStability-high-strength,1,evidence-result-presentation-contract,reviewed
detail50-emotionalStability-high-tradeoff,1,evidence-result-presentation-contract,reviewed
detail50-emotionalStability-high-work,1,evidence-result-presentation-contract,reviewed
detail50-emotionalStability-high-relationship,1,evidence-result-presentation-contract,reviewed
detail50-emotionalStability-high-stress,1,evidence-result-presentation-contract,reviewed
detail50-emotionalStability-high-question,1,evidence-result-presentation-contract,reviewed
detail50-emotionalStability-high-action,1,evidence-result-presentation-contract,reviewed
detail50-emotionalStability-middle-observation,1,evidence-ipip-japanese-markers,reviewed
detail50-emotionalStability-middle-observation,2,evidence-ipip-50-item-scale,reviewed
detail50-emotionalStability-middle-strength,1,evidence-result-presentation-contract,reviewed
detail50-emotionalStability-middle-tradeoff,1,evidence-result-presentation-contract,reviewed
detail50-emotionalStability-middle-work,1,evidence-result-presentation-contract,reviewed
detail50-emotionalStability-middle-relationship,1,evidence-result-presentation-contract,reviewed
detail50-emotionalStability-middle-stress,1,evidence-result-presentation-contract,reviewed
detail50-emotionalStability-middle-question,1,evidence-result-presentation-contract,reviewed
detail50-emotionalStability-middle-action,1,evidence-result-presentation-contract,reviewed
detail50-emotionalStability-low-observation,1,evidence-ipip-japanese-markers,reviewed
detail50-emotionalStability-low-observation,2,evidence-ipip-50-item-scale,reviewed
detail50-emotionalStability-low-strength,1,evidence-result-presentation-contract,reviewed
detail50-emotionalStability-low-tradeoff,1,evidence-result-presentation-contract,reviewed
detail50-emotionalStability-low-work,1,evidence-result-presentation-contract,reviewed
detail50-emotionalStability-low-relationship,1,evidence-result-presentation-contract,reviewed
detail50-emotionalStability-low-stress,1,evidence-result-presentation-contract,reviewed
detail50-emotionalStability-low-question,1,evidence-result-presentation-contract,reviewed
detail50-emotionalStability-low-action,1,evidence-result-presentation-contract,reviewed
