text_id,result_text_version,display_order,section,claim_kind,mode,factor_id,band,title_id,preview_allowed,text,status
title-single-extraversion-high-subtitle,result-text-v2,11,titleSubtitle,entertainmentReason,,,,title-single-extraversion-high,true,人との交流や活気のある場を好む社交派,approved
title-single-extraversion-high-reason,result-text-v2,12,titleReason,entertainmentReason,,,,title-single-extraversion-high,true,今回の回答では、人との交流や活気のある場に関心を向ける回答が比較的多く見られました。ほかの四つの因子は中間域だったため「にぎわいへ進む交遊者」という称号になりました。,approved
title-single-extraversion-low-subtitle,result-text-v2,13,titleSubtitle,entertainmentReason,,,,title-single-extraversion-low,true,落ち着いた環境や少人数での交流を好む少人数派,approved
title-single-extraversion-low-reason,result-text-v2,14,titleReason,entertainmentReason,,,,title-single-extraversion-low,true,今回の回答では、にぎやかな交流より落ち着いた環境や少人数での関わりを選ぶ回答が比較的多く見られました。ほかの四つの因子は中間域だったため「静謐なる滞在者」という称号になりました。,approved
title-single-agreeableness-high-subtitle,result-text-v2,15,titleSubtitle,entertainmentReason,,,,title-single-agreeableness-high,true,相手の気持ちや周囲との調和を大切にする協調重視派,approved
title-single-agreeableness-high-reason,result-text-v2,16,titleReason,entertainmentReason,,,,title-single-agreeableness-high,true,今回の回答では、相手の立場や気持ちを考えながら周囲との調和を大切にする回答が比較的多く見られました。ほかの四つの因子は中間域だったため「歩幅をそろえる同伴者」という称号になりました。,approved
title-single-agreeableness-low-subtitle,result-text-v2,17,titleSubtitle,entertainmentReason,,,,title-single-agreeableness-low,true,周囲に合わせるより自分の判断を大切にする自分軸派,approved
title-single-agreeableness-low-reason,result-text-v2,18,titleReason,entertainmentReason,,,,title-single-agreeableness-low,true,今回の回答では、周囲との調和より自分の判断や基準をもとに関わる回答が比較的多く見られました。ほかの四つの因子は中間域だったため「自分の歩幅で進む同行者」という称号になりました。,approved
title-single-emotionalStability-high-subtitle,result-text-v2,19,titleSubtitle,entertainmentReason,,,,title-single-emotionalStability-high,true,予想外のときにも落ち着きを保つ安定派,approved
title-single-emotionalStability-high-reason,result-text-v2,20,titleReason,entertainmentReason,,,,title-single-emotionalStability-high,true,今回の回答では、感情の揺れや緊張に大きく左右されにくく落ち着きを保つ回答が比較的多く見られました。ほかの四つの因子は中間域だったため「静かなる航行者」という称号になりました。,approved
title-single-emotionalStability-low-subtitle,result-text-v2,21,titleSubtitle,entertainmentReason,,,,title-single-emotionalStability-low,true,心配や気分の変化を感じ取る繊細派,approved
title-single-emotionalStability-low-reason,result-text-v2,22,titleReason,entertainmentReason,,,,title-single-emotionalStability-low,true,今回の回答では、心配や気分の変化を感じやすいことを示す回答が比較的多く見られました。ほかの四つの因子は中間域だったため「そよ風に振り向く感受者」という称号になりました。,approved
title-pair-intellectImagination-high--conscientiousness-high-subtitle,result-text-v2,23,titleSubtitle,entertainmentReason,,,,title-pair-intellectImagination-high--conscientiousness-high,true,新しいアイデアを計画的に形にする実行派,approved
title-pair-intellectImagination-high--conscientiousness-high-reason,result-text-v2,24,titleReason,entertainmentReason,,,,title-pair-intellectImagination-high--conscientiousness-high,true,今回の回答では、新しい可能性を考える回答と計画的に整理して進める回答の両方が比較的多く見られました。発想を広げながら手順や成果物として形にしようとする組み合わせから「星座盤に印を置く記録者」という称号になりました。,approved
title-pair-intellectImagination-high--conscientiousness-low-subtitle,result-text-v2,25,titleSubtitle,entertainmentReason,,,,title-pair-intellectImagination-high--conscientiousness-low,true,新しい発想を自由に広げるひらめき派,approved
title-pair-intellectImagination-high--conscientiousness-low-reason,result-text-v2,26,titleReason,entertainmentReason,,,,title-pair-intellectImagination-high--conscientiousness-low,true,今回の回答では、新しい発想や可能性に関心を向けやすい一方で決められた手順や継続的な管理にはこだわりが少ない傾向が見られました。興味に応じて柔軟に方向を変える組み合わせから「風まかせの空想者」という称号になりました。,approved
title-pair-intellectImagination-low--conscientiousness-high-subtitle,result-text-v2,27,titleSubtitle,entertainmentReason,,,,title-pair-intellectImagination-low--conscientiousness-high,true,具体的な手順を着実に続ける堅実派,approved
title-pair-intellectImagination-low--conscientiousness-high-reason,result-text-v2,28,titleReason,entertainmentReason,,,,title-pair-intellectImagination-low--conscientiousness-high,true,今回の回答では、具体的で確認しやすい方法を選ぶ回答と計画的に続ける回答の両方が比較的多く見られました。定められた手順を安定して実行する組み合わせから「素朴な継続者」という称号になりました。,approved
title-pair-intellectImagination-low--conscientiousness-low-subtitle,result-text-v2,29,titleSubtitle,entertainmentReason,,,,title-pair-intellectImagination-low--conscientiousness-low,true,身近な状況を見ながら柔軟に動くマイペース派,approved
title-pair-intellectImagination-low--conscientiousness-low-reason,result-text-v2,30,titleReason,entertainmentReason,,,,title-pair-intellectImagination-low--conscientiousness-low,true,今回の回答では、抽象的な発想や細かな計画よりその場で分かりやすいことに対応する回答が比較的多く見られました。身近な状況を基準に行動を選ぶ組み合わせから「気ままな遊歩者」という称号になりました。,approved
title-pair-intellectImagination-high--extraversion-high-subtitle,result-text-v2,31,titleSubtitle,entertainmentReason,,,,title-pair-intellectImagination-high--extraversion-high,true,新しいアイデアを人と共有して広げる発信派,approved
title-pair-intellectImagination-high--extraversion-high-reason,result-text-v2,32,titleReason,entertainmentReason,,,,title-pair-intellectImagination-high--extraversion-high,true,今回の回答では、新しい考えや可能性への関心を示す回答と人との交流を好む回答の両方が比較的多く見られました。対話を通じて発想を広げる組み合わせから「新風を運ぶ伝達者」という称号になりました。,approved
title-pair-intellectImagination-high--extraversion-low-subtitle,result-text-v2,33,titleSubtitle,entertainmentReason,,,,title-pair-intellectImagination-high--extraversion-low,true,静かな環境で考えを深める思索派,approved
title-pair-intellectImagination-high--extraversion-low-reason,result-text-v2,34,titleReason,entertainmentReason,,,,title-pair-intellectImagination-high--extraversion-low,true,今回の回答では、新しい概念や複雑なテーマを深く考える回答と静かな環境を選ぶ回答が比較的多く見られました。交流の量より内面的な探究を重視する組み合わせから「静寂に星座盤を見つめる探索者」という称号になりました。,approved
title-pair-intellectImagination-low--extraversion-high-subtitle,result-text-v2,35,titleSubtitle,entertainmentReason,,,,title-pair-intellectImagination-low--extraversion-high,true,身近な話題を人と楽しむ社交派,approved
title-pair-intellectImagination-low--extraversion-high-reason,result-text-v2,36,titleReason,entertainmentReason,,,,title-pair-intellectImagination-low--extraversion-high,true,今回の回答では、身近で具体的な話題に関心を向ける回答と人との交流を好む回答が比較的多く見られました。実際の出来事や経験を通じて交流を広げる組み合わせから「にぎわいの談話者」という称号になりました。,approved
title-pair-intellectImagination-low--extraversion-low-subtitle,result-text-v2,37,titleSubtitle,entertainmentReason,,,,title-pair-intellectImagination-low--extraversion-low,true,身近なことを静かな環境で確かめる現実派,approved
title-pair-intellectImagination-low--extraversion-low-reason,result-text-v2,38,titleReason,entertainmentReason,,,,title-pair-intellectImagination-low--extraversion-low,true,今回の回答では、具体的で身近な事柄を選ぶ回答と落ち着いた環境を好む回答が比較的多く見られました。刺激の多い交流や抽象的な思考より慣れた環境で静かに物事を進めるという組み合わせから「窓辺の逗留者」という称号になりました。,approved
title-pair-intellectImagination-high--agreeableness-high-subtitle,result-text-v2,39,titleSubtitle,entertainmentReason,,,,title-pair-intellectImagination-high--agreeableness-high,true,多様な考えを受け止めて共通点を探す協調派,approved
title-pair-intellectImagination-high--agreeableness-high-reason,result-text-v2,40,titleReason,entertainmentReason,,,,title-pair-intellectImagination-high--agreeableness-high,true,今回の回答では、多様な考えや新しい可能性への関心を示す回答と相手の立場や感情に配慮する回答の両方が比較的多く見られました。異なる意見の間に共通点を見つけようとする組み合わせから「寄り添う共鳴者」という称号になりました。,approved
title-pair-intellectImagination-high--agreeableness-low-subtitle,result-text-v2,41,titleSubtitle,entertainmentReason,,,,title-pair-intellectImagination-high--agreeableness-low,true,新しい可能性を自分の基準で追う独自路線派,approved
title-pair-intellectImagination-high--agreeableness-low-reason,result-text-v2,42,titleReason,entertainmentReason,,,,title-pair-intellectImagination-high--agreeableness-low,true,今回の回答では、新しい可能性への関心を示す回答と周囲との一致より自分の判断を重視する回答が比較的多く見られました。発想の独自性や自分なりの納得を大切にする組み合わせから「独歩の開拓者」という称号になりました。,approved
title-pair-intellectImagination-low--agreeableness-high-subtitle,result-text-v2,43,titleSubtitle,entertainmentReason,,,,title-pair-intellectImagination-low--agreeableness-high,true,身近な助け合いを大切にする協力派,approved
title-pair-intellectImagination-low--agreeableness-high-reason,result-text-v2,44,titleReason,entertainmentReason,,,,title-pair-intellectImagination-low--agreeableness-high,true,今回の回答では、身近で具体的な事柄を基準にする回答と相手との調和や助け合いを大切にする回答が比較的多く見られました。具体的な助け合いや共通の経験を通じて関係を築こうとする組み合わせから「分かち合う同席者」という称号になりました。,approved
title-pair-intellectImagination-low--agreeableness-low-subtitle,result-text-v2,45,titleSubtitle,entertainmentReason,,,,title-pair-intellectImagination-low--agreeableness-low,true,具体的な事実をもとに判断する自分軸派,approved
title-pair-intellectImagination-low--agreeableness-low-reason,result-text-v2,46,titleReason,entertainmentReason,,,,title-pair-intellectImagination-low--agreeableness-low,true,今回の回答では、具体的な事実や経験を基準にする回答と周囲に合わせるより自分の判断を重視する回答が比較的多く見られました。実際に確認できる内容をもとに自分の考えを示す組み合わせから「標を示す表明者」という称号になりました。,approved
title-pair-intellectImagination-high--emotionalStability-high-subtitle,result-text-v2,47,titleSubtitle,entertainmentReason,,,,title-pair-intellectImagination-high--emotionalStability-high,true,広い視野で落ち着いて考える冷静派,approved
title-pair-intellectImagination-high--emotionalStability-high-reason,result-text-v2,48,titleReason,entertainmentReason,,,,title-pair-intellectImagination-high--emotionalStability-high,true,今回の回答では、新しい可能性や複雑なテーマに関心を向ける回答と感情の揺れには左右されにくいことを示す回答が比較的多く見られました。落ち着いた状態で物事を広く捉える組み合わせから「凪空を仰ぐ観望者」という称号になりました。,approved
title-pair-intellectImagination-high--emotionalStability-low-subtitle,result-text-v2,49,titleSubtitle,entertainmentReason,,,,title-pair-intellectImagination-high--emotionalStability-low,true,多くの可能性や変化を感じ取る繊細派,approved
title-pair-intellectImagination-high--emotionalStability-low-reason,result-text-v2,50,titleReason,entertainmentReason,,,,title-pair-intellectImagination-high--emotionalStability-low,true,今回の回答では、新しい考えや可能性に関心を向ける回答と周囲の変化や不確実さに敏感なことを示す回答が比較的多く見られました。多くの可能性と懸念の両方へ意識が向く組み合わせから「鈴音に振り向く探訪者」という称号になりました。,approved
title-pair-intellectImagination-low--emotionalStability-high-subtitle,result-text-v2,51,titleSubtitle,entertainmentReason,,,,title-pair-intellectImagination-low--emotionalStability-high,true,確かな情報をもとに落ち着いて進める堅実派,approved
title-pair-intellectImagination-low--emotionalStability-high-reason,result-text-v2,52,titleReason,entertainmentReason,,,,title-pair-intellectImagination-low--emotionalStability-high,true,今回の回答では、具体的で確かめやすい情報を重視する回答と感情の揺れには左右されにくいことを示す回答が比較的多く見られました。身近な現実を落ち着いて受け止める組み合わせから「日だまりの静観者」という称号になりました。,approved
title-pair-intellectImagination-low--emotionalStability-low-subtitle,result-text-v2,53,titleSubtitle,entertainmentReason,,,,title-pair-intellectImagination-low--emotionalStability-low,true,身近な出来事や変化に気づく現実派,approved
title-pair-intellectImagination-low--emotionalStability-low-reason,result-text-v2,54,titleReason,entertainmentReason,,,,title-pair-intellectImagination-low--emotionalStability-low,true,今回の回答では、具体的で身近な出来事を重視する回答と周囲の変化や不確実な状況に敏感なことを示す回答が比較的多く見られました。目の前で起きた変化に意識が向く組み合わせから「雨音に振り向く歩行者」という称号になりました。,approved
title-pair-conscientiousness-high--extraversion-high-subtitle,result-text-v2,55,titleSubtitle,entertainmentReason,,,,title-pair-conscientiousness-high--extraversion-high,true,計画性と社交性をあわせ持つ行動派,approved
title-pair-conscientiousness-high--extraversion-high-reason,result-text-v2,56,titleReason,entertainmentReason,,,,title-pair-conscientiousness-high--extraversion-high,true,今回の回答では、計画や役割を意識して行動する回答と人との交流に積極的に参加する回答の両方が比較的多く見られました。周囲と関わりながら活動を前へ進めようとする組み合わせから「刻限に集う交流者」という称号になりました。,approved
title-pair-conscientiousness-high--extraversion-low-subtitle,result-text-v2,57,titleSubtitle,entertainmentReason,,,,title-pair-conscientiousness-high--extraversion-low,true,静かな環境で計画的に進めるコツコツ派,approved
title-pair-conscientiousness-high--extraversion-low-reason,result-text-v2,58,titleReason,entertainmentReason,,,,title-pair-conscientiousness-high--extraversion-low,true,今回の回答では、落ち着いた環境を選ぶ回答と計画や手順を整えて物事を進める回答が比較的多く見られました。人前で積極的に働きかけるより自分の担当を丁寧に進める組み合わせから「灯下の記録者」という称号になりました。,approved
title-pair-conscientiousness-low--extraversion-high-subtitle,result-text-v2,59,titleSubtitle,entertainmentReason,,,,title-pair-conscientiousness-low--extraversion-high,true,人との交流に合わせて柔軟に動く自由派,approved
title-pair-conscientiousness-low--extraversion-high-reason,result-text-v2,60,titleReason,entertainmentReason,,,,title-pair-conscientiousness-low--extraversion-high,true,今回の回答では、細かな計画に沿うことより人との交流やその場の流れに応じて行動を変える回答が比較的多く見られました。予定外の出来事や誘いにも柔軟に反応する組み合わせから「道草の合流者」という称号になりました。,approved
title-pair-conscientiousness-low--extraversion-low-subtitle,result-text-v2,61,titleSubtitle,entertainmentReason,,,,title-pair-conscientiousness-low--extraversion-low,true,細かな予定に縛られず静かに取り組むマイペース派,approved
title-pair-conscientiousness-low--extraversion-low-reason,result-text-v2,62,titleReason,entertainmentReason,,,,title-pair-conscientiousness-low--extraversion-low,true,今回の回答では、細かな予定に縛られず静かな環境で自分のペースを保とうとする回答が比較的多く見られました。外部からの働きかけや期限よりその時の状態に合わせて動く組み合わせから「余白を楽しむ散策者」という称号になりました。,approved
title-pair-conscientiousness-high--agreeableness-high-subtitle,result-text-v2,63,titleSubtitle,entertainmentReason,,,,title-pair-conscientiousness-high--agreeableness-high,true,計画性と協調性をあわせ持つサポート派,approved
title-pair-conscientiousness-high--agreeableness-high-reason,result-text-v2,64,titleReason,entertainmentReason,,,,title-pair-conscientiousness-high--agreeableness-high,true,今回の回答では、計画や役割を丁寧に整える回答と周囲との協力を大切にする回答の両方が比較的多く見られました。全体が円滑に進むよう準備や調整に意識が向く組み合わせから「輪を整える準備者」という称号になりました。,approved
title-pair-conscientiousness-high--agreeableness-low-subtitle,result-text-v2,65,titleSubtitle,entertainmentReason,,,,title-pair-conscientiousness-high--agreeableness-low,true,自分の基準に沿って着実に進める実務派,approved
title-pair-conscientiousness-high--agreeableness-low-reason,result-text-v2,66,titleReason,entertainmentReason,,,,title-pair-conscientiousness-high--agreeableness-low,true,今回の回答では、目標やルールを明確にする回答と周囲の希望より自分の基準を重視する回答が比較的多く見られました。目標やルールを定めながら自分の基準に沿って進める組み合わせから「線を引く整頓者」という称号になりました。,approved
title-pair-conscientiousness-low--agreeableness-high-subtitle,result-text-v2,67,titleSubtitle,entertainmentReason,,,,title-pair-conscientiousness-low--agreeableness-high,true,計画より相手の希望を優先する柔軟派,approved
title-pair-conscientiousness-low--agreeableness-high-reason,result-text-v2,68,titleReason,entertainmentReason,,,,title-pair-conscientiousness-low--agreeableness-high,true,今回の回答では、細かな計画にこだわらない回答と相手の希望や状況に合わせようとする回答が比較的多く見られました。予定よりその場の関係や気持ちを優先する組み合わせから「寄り道をともにする同行者」という称号になりました。,approved
title-pair-conscientiousness-low--agreeableness-low-subtitle,result-text-v2,69,titleSubtitle,entertainmentReason,,,,title-pair-conscientiousness-low--agreeableness-low,true,手順や周囲に縛られず動く自由派,approved
title-pair-conscientiousness-low--agreeableness-low-reason,result-text-v2,70,titleReason,entertainmentReason,,,,title-pair-conscientiousness-low--agreeableness-low,true,今回の回答では、決められた手順にこだわらない回答と周囲の期待より自分の判断を重視する回答が比較的多く見られました。その時々の必要性や関心を基準に方向を選ぶ組み合わせから「自由な独行者」という称号になりました。,approved
title-pair-conscientiousness-high--emotionalStability-high-subtitle,result-text-v2,71,titleSubtitle,entertainmentReason,,,,title-pair-conscientiousness-high--emotionalStability-high,true,計画を立てて落ち着いて進める安定派,approved
title-pair-conscientiousness-high--emotionalStability-high-reason,result-text-v2,72,titleReason,entertainmentReason,,,,title-pair-conscientiousness-high--emotionalStability-high,true,今回の回答では、計画や責任を意識する回答と感情の揺れには左右されにくいことを示す回答が比較的多く見られました。予期しない状況でも手順を整理して落ち着いて対応する組み合わせから「凪の計画者」という称号になりました。,approved
title-pair-conscientiousness-high--emotionalStability-low-subtitle,result-text-v2,73,titleSubtitle,entertainmentReason,,,,title-pair-conscientiousness-high--emotionalStability-low,true,心配に備えて丁寧に準備を進める慎重派,approved
title-pair-conscientiousness-high--emotionalStability-low-reason,result-text-v2,74,titleReason,entertainmentReason,,,,title-pair-conscientiousness-high--emotionalStability-low,true,今回の回答では、心配や緊張を感じやすいことを示す回答と計画や確認を丁寧に行う回答が比較的多く見られました。不確実さを減らすため準備を重ねる組み合わせから「揺れ灯の整頓者」という称号になりました。,approved
title-pair-conscientiousness-low--emotionalStability-high-subtitle,result-text-v2,75,titleSubtitle,entertainmentReason,,,,title-pair-conscientiousness-low--emotionalStability-high,true,予定にこだわらず落ち着いて行動する柔軟派,approved
title-pair-conscientiousness-low--emotionalStability-high-reason,result-text-v2,76,titleReason,entertainmentReason,,,,title-pair-conscientiousness-low--emotionalStability-high,true,今回の回答では、細かな計画にこだわらない回答と感情の揺れには左右されにくいことを示す回答が比較的多く見られました。状況の変化を落ち着いて受け止めながら柔軟に動く組み合わせから「流れをゆく漂泊者」という称号になりました。,approved
title-pair-conscientiousness-low--emotionalStability-low-subtitle,result-text-v2,77,titleSubtitle,entertainmentReason,,,,title-pair-conscientiousness-low--emotionalStability-low,true,気持ちの変化に合わせて予定を見直す繊細派,approved
title-pair-conscientiousness-low--emotionalStability-low-reason,result-text-v2,78,titleReason,entertainmentReason,,,,title-pair-conscientiousness-low--emotionalStability-low,true,今回の回答では、状況や感情の変化に反応しやすいことを示す回答と定めた計画よりその時の状態に応じて行動を変える回答が比較的多く見られました。負担を感じたときに予定を見直す傾向が見られる組み合わせから「揺れ影の遊歩者」という称号になりました。,approved
title-pair-extraversion-high--agreeableness-high-subtitle,result-text-v2,79,titleSubtitle,entertainmentReason,,,,title-pair-extraversion-high--agreeableness-high,true,人との交流と場の調和を大切にする社交派,approved
title-pair-extraversion-high--agreeableness-high-reason,result-text-v2,80,titleReason,entertainmentReason,,,,title-pair-extraversion-high--agreeableness-high,true,今回の回答では、人との交流に積極的な回答と相手の立場や場の調和を大切にする回答の両方が比較的多く見られました。周囲と関わりながら協力的な雰囲気を作ろうとする組み合わせから「輪舞へ踏み出す共演者」という称号になりました。,approved
title-pair-extraversion-high--agreeableness-low-subtitle,result-text-v2,81,titleSubtitle,entertainmentReason,,,,title-pair-extraversion-high--agreeableness-low,true,人と関わりながら自分の意見を示す発信派,approved
title-pair-extraversion-high--agreeableness-low-reason,result-text-v2,82,titleReason,entertainmentReason,,,,title-pair-extraversion-high--agreeableness-low,true,今回の回答では、人との関わりに積極的な回答と自分の意見や立場を率直に示す回答が比較的多く見られました。周囲の反応を待つより自ら話題を出して行動を起こす組み合わせから「自分の色を掲げる表明者」という称号になりました。,approved
title-pair-extraversion-low--agreeableness-high-subtitle,result-text-v2,83,titleSubtitle,entertainmentReason,,,,title-pair-extraversion-low--agreeableness-high,true,前に出るより静かに相手を支える聞き役,approved
title-pair-extraversion-low--agreeableness-high-reason,result-text-v2,84,titleReason,entertainmentReason,,,,title-pair-extraversion-low--agreeableness-high,true,今回の回答では、前に出て交流を広げるより落ち着いた関わりを選ぶ回答と相手を支えようとする回答が比較的多く見られました。言葉数より注意深く話を聞くことを重視する組み合わせから「寄り添う静観者」という称号になりました。,approved
title-pair-extraversion-low--agreeableness-low-subtitle,result-text-v2,85,titleSubtitle,entertainmentReason,,,,title-pair-extraversion-low--agreeableness-low,true,自分に合う距離と居場所を選ぶマイペース派,approved
title-pair-extraversion-low--agreeableness-low-reason,result-text-v2,86,titleReason,entertainmentReason,,,,title-pair-extraversion-low--agreeableness-low,true,今回の回答では、広い交流を求めない回答と周囲との同調より自分の判断を重視する回答が比較的多く見られました。自分に合う距離や居場所を選びながら自分の基準を保つ組み合わせから「一席を選ぶ滞在者」という称号になりました。,approved
title-pair-extraversion-high--emotionalStability-high-subtitle,result-text-v2,87,titleSubtitle,entertainmentReason,,,,title-pair-extraversion-high--emotionalStability-high,true,人との交流を落ち着いて楽しむ社交派,approved
title-pair-extraversion-high--emotionalStability-high-reason,result-text-v2,88,titleReason,entertainmentReason,,,,title-pair-extraversion-high--emotionalStability-high,true,今回の回答では、人との交流を好む回答と緊張や感情の揺れには左右されにくいことを示す回答が比較的多く見られました。活気のある場にも自然体で参加する組み合わせから「寛ぐ交遊者」という称号になりました。,approved
title-pair-extraversion-high--emotionalStability-low-subtitle,result-text-v2,89,titleSubtitle,entertainmentReason,,,,title-pair-extraversion-high--emotionalStability-low,true,交流を楽しみながら周囲の反応も感じ取る繊細派,approved
title-pair-extraversion-high--emotionalStability-low-reason,result-text-v2,90,titleReason,entertainmentReason,,,,title-pair-extraversion-high--emotionalStability-low,true,今回の回答では、人との交流や周囲の動きに積極的に反応する回答と場の雰囲気や相手の反応に敏感なことを示す回答が比較的多く見られました。交流から刺激を受けながら評価や変化にも意識が向く組み合わせから「ざわめきへ振り向く参加者」という称号になりました。,approved
title-pair-extraversion-low--emotionalStability-high-subtitle,result-text-v2,91,titleSubtitle,entertainmentReason,,,,title-pair-extraversion-low--emotionalStability-high,true,静かな環境や一人の時間を大切にする安定派,approved
title-pair-extraversion-low--emotionalStability-high-reason,result-text-v2,92,titleReason,entertainmentReason,,,,title-pair-extraversion-low--emotionalStability-high,true,今回の回答では、落ち着いた環境や一人の時間を好む回答と感情の揺れには左右されにくいことを示す回答が比較的多く見られました。急いで外へ働きかけるより適切な時機を待つ組み合わせから「芽吹きを待つ滞在者」という称号になりました。,approved
title-pair-extraversion-low--emotionalStability-low-subtitle,result-text-v2,93,titleSubtitle,entertainmentReason,,,,title-pair-extraversion-low--emotionalStability-low,true,静かな環境で周囲の変化に耳を澄ます繊細派,approved
title-pair-extraversion-low--emotionalStability-low-reason,result-text-v2,94,titleReason,entertainmentReason,,,,title-pair-extraversion-low--emotionalStability-low,true,今回の回答では、静かな環境を選ぶ回答と周囲の変化や人からの反応に敏感なことを示す回答が比較的多く見られました。刺激の多い場面では慎重になり自分の内側で状況を確かめる組み合わせから「薄明に耳を向ける逗留者」という称号になりました。,approved
title-pair-agreeableness-high--emotionalStability-high-subtitle,result-text-v2,95,titleSubtitle,entertainmentReason,,,,title-pair-agreeableness-high--emotionalStability-high,true,相手に配慮しながら穏やかに向き合う協調派,approved
title-pair-agreeableness-high--emotionalStability-high-reason,result-text-v2,96,titleReason,entertainmentReason,,,,title-pair-agreeableness-high--emotionalStability-high,true,今回の回答では、相手への配慮を大切にする回答と感情の揺れには左右されにくいことを示す回答が比較的多く見られました。対立する場面でも落ち着いて合意点を探す組み合わせから「ふたつの杯の相席者」という称号になりました。,approved
title-pair-agreeableness-high--emotionalStability-low-subtitle,result-text-v2,97,titleSubtitle,entertainmentReason,,,,title-pair-agreeableness-high--emotionalStability-low,true,相手の気持ちや関係の変化を感じ取る共感派,approved
title-pair-agreeableness-high--emotionalStability-low-reason,result-text-v2,98,titleReason,entertainmentReason,,,,title-pair-agreeableness-high--emotionalStability-low,true,今回の回答では、相手の気持ちや関係の変化に敏感なことを示す回答と周囲との調和を大切にする回答が比較的多く見られました。周囲の負担や不満に早い段階で意識が向き関係を保とうとする組み合わせから「揺れ布に並ぶ同伴者」という称号になりました。,approved
title-pair-agreeableness-low--emotionalStability-high-subtitle,result-text-v2,99,titleSubtitle,entertainmentReason,,,,title-pair-agreeableness-low--emotionalStability-high,true,自分の判断を落ち着いて示す自分軸派,approved
title-pair-agreeableness-low--emotionalStability-high-reason,result-text-v2,100,titleReason,entertainmentReason,,,,title-pair-agreeableness-low--emotionalStability-high,true,今回の回答では、周囲との調和より自分の判断を重視する回答と感情の揺れには左右されにくいことを示す回答が比較的多く見られました。対立や反対意見があっても冷静に自分の立場を保つ組み合わせから「淡々たる表明者」という称号になりました。,approved
title-pair-agreeableness-low--emotionalStability-low-subtitle,result-text-v2,101,titleSubtitle,entertainmentReason,,,,title-pair-agreeableness-low--emotionalStability-low,true,違和感や問題の兆しを捉えてはっきり示す主張派,approved
title-pair-agreeableness-low--emotionalStability-low-reason,result-text-v2,102,titleReason,entertainmentReason,,,,title-pair-agreeableness-low--emotionalStability-low,true,今回の回答では、自分の立場や違和感を強く意識する回答と周囲の反応や不確実な状況に敏感なことを示す回答が比較的多く見られました。問題や対立の兆しに意識が向き自分の考えを明確に示そうとする組み合わせから「風鳴る戸口の掲示者」という称号になりました。,approved
preview20-intellectImagination-high-observation,result-text-v2,103,observation,scaleObservation,preview20,intellectImagination,high,,true,今回の20問では、新しい考え方や発想への関心が尺度内で高めであるという傾向が見られました。,approved
preview20-intellectImagination-middle-observation,result-text-v2,104,observation,scaleObservation,preview20,intellectImagination,middle,,true,今回の20問では、新しい考え方や発想への関心が尺度内の中間域にあるという傾向が見られました。,approved
preview20-intellectImagination-low-observation,result-text-v2,105,observation,scaleObservation,preview20,intellectImagination,low,,true,今回の20問では、新しい考え方や発想への関心が尺度内で低めであるという傾向が見られました。,approved
detail50-intellectImagination-high-observation,result-text-v2,106,observation,scaleObservation,detail50,intellectImagination,high,,false,今回の50問では、新しい考え方や発想への関心が尺度内で高めであるという傾向が見られました。,approved
