title_id,display_order,palette_id,status
title-pair-intellectImagination-low--emotionalStability-low,1,palette-pair-intellectimagination-low-and-emotionalstability-low-2,draft
title-pair-intellectImagination-low--emotionalStability-low,2,palette-pair-intellectimagination-low-and-emotionalstability-low-3,draft
title-pair-conscientiousness-high--extraversion-high,1,palette-pair-conscientiousness-high-and-extraversion-high-2,draft
title-pair-conscientiousness-high--extraversion-high,2,palette-pair-conscientiousness-high-and-extraversion-high-3,draft
title-pair-conscientiousness-high--extraversion-low,1,palette-pair-conscientiousness-high-and-extraversion-low-2,draft
title-pair-conscientiousness-high--extraversion-low,2,palette-pair-conscientiousness-high-and-extraversion-low-3,draft
title-pair-conscientiousness-low--extraversion-high,1,palette-pair-conscientiousness-low-and-extraversion-high-2,draft
title-pair-conscientiousness-low--extraversion-high,2,palette-pair-conscientiousness-low-and-extraversion-high-3,draft
title-pair-conscientiousness-low--extraversion-low,1,palette-pair-conscientiousness-low-and-extraversion-low-2,draft
title-pair-conscientiousness-low--extraversion-low,2,palette-pair-conscientiousness-low-and-extraversion-low-3,draft
title-pair-conscientiousness-high--agreeableness-high,1,palette-pair-conscientiousness-high-and-agreeableness-high-2,draft
title-pair-conscientiousness-high--agreeableness-high,2,palette-pair-conscientiousness-high-and-agreeableness-high-3,draft
title-pair-conscientiousness-high--agreeableness-low,1,palette-pair-conscientiousness-high-and-agreeableness-low-2,draft
title-pair-conscientiousness-high--agreeableness-low,2,palette-pair-conscientiousness-high-and-agreeableness-low-3,draft
title-pair-conscientiousness-low--agreeableness-high,1,palette-pair-conscientiousness-low-and-agreeableness-high-2,draft
title-pair-conscientiousness-low--agreeableness-high,2,palette-pair-conscientiousness-low-and-agreeableness-high-3,draft
title-pair-conscientiousness-low--agreeableness-low,1,palette-pair-conscientiousness-low-and-agreeableness-low-2,draft
title-pair-conscientiousness-low--agreeableness-low,2,palette-pair-conscientiousness-low-and-agreeableness-low-3,draft
title-pair-conscientiousness-high--emotionalStability-high,1,palette-pair-conscientiousness-high-and-emotionalstability-high-2,draft
title-pair-conscientiousness-high--emotionalStability-high,2,palette-pair-conscientiousness-high-and-emotionalstability-high-3,draft
title-pair-conscientiousness-high--emotionalStability-low,1,palette-pair-conscientiousness-high-and-emotionalstability-low-2,draft
title-pair-conscientiousness-high--emotionalStability-low,2,palette-pair-conscientiousness-high-and-emotionalstability-low-3,draft
title-pair-conscientiousness-low--emotionalStability-high,1,palette-pair-conscientiousness-low-and-emotionalstability-high-2,draft
title-pair-conscientiousness-low--emotionalStability-high,2,palette-pair-conscientiousness-low-and-emotionalstability-high-3,draft
title-pair-conscientiousness-low--emotionalStability-low,1,palette-pair-conscientiousness-low-and-emotionalstability-low-2,draft
title-pair-conscientiousness-low--emotionalStability-low,2,palette-pair-conscientiousness-low-and-emotionalstability-low-3,draft
title-pair-extraversion-high--agreeableness-high,1,palette-pair-extraversion-high-and-agreeableness-high-2,draft
title-pair-extraversion-high--agreeableness-high,2,palette-pair-extraversion-high-and-agreeableness-high-3,draft
title-pair-extraversion-high--agreeableness-low,1,palette-pair-extraversion-high-and-agreeableness-low-2,draft
title-pair-extraversion-high--agreeableness-low,2,palette-pair-extraversion-high-and-agreeableness-low-3,draft
title-pair-extraversion-low--agreeableness-high,1,palette-pair-extraversion-low-and-agreeableness-high-2,draft
title-pair-extraversion-low--agreeableness-high,2,palette-pair-extraversion-low-and-agreeableness-high-3,draft
title-pair-extraversion-low--agreeableness-low,1,palette-pair-extraversion-low-and-agreeableness-low-2,draft
title-pair-extraversion-low--agreeableness-low,2,palette-pair-extraversion-low-and-agreeableness-low-3,draft
title-pair-extraversion-high--emotionalStability-high,1,palette-pair-extraversion-high-and-emotionalstability-high-2,draft
title-pair-extraversion-high--emotionalStability-high,2,palette-pair-extraversion-high-and-emotionalstability-high-3,draft
title-pair-extraversion-high--emotionalStability-low,1,palette-pair-extraversion-high-and-emotionalstability-low-2,draft
title-pair-extraversion-high--emotionalStability-low,2,palette-pair-extraversion-high-and-emotionalstability-low-3,draft
title-pair-extraversion-low--emotionalStability-high,1,palette-pair-extraversion-low-and-emotionalstability-high-2,draft
title-pair-extraversion-low--emotionalStability-high,2,palette-pair-extraversion-low-and-emotionalstability-high-3,draft
title-pair-extraversion-low--emotionalStability-low,1,palette-pair-extraversion-low-and-emotionalstability-low-2,draft
title-pair-extraversion-low--emotionalStability-low,2,palette-pair-extraversion-low-and-emotionalstability-low-3,draft
title-pair-agreeableness-high--emotionalStability-high,1,palette-pair-agreeableness-high-and-emotionalstability-high-2,draft
title-pair-agreeableness-high--emotionalStability-high,2,palette-pair-agreeableness-high-and-emotionalstability-high-3,draft
title-pair-agreeableness-high--emotionalStability-low,1,palette-pair-agreeableness-high-and-emotionalstability-low-2,draft
title-pair-agreeableness-high--emotionalStability-low,2,palette-pair-agreeableness-high-and-emotionalstability-low-3,draft
title-pair-agreeableness-low--emotionalStability-high,1,palette-pair-agreeableness-low-and-emotionalstability-high-2,draft
title-pair-agreeableness-low--emotionalStability-high,2,palette-pair-agreeableness-low-and-emotionalstability-high-3,draft
title-pair-agreeableness-low--emotionalStability-low,1,palette-pair-agreeableness-low-and-emotionalstability-low-2,draft
title-pair-agreeableness-low--emotionalStability-low,2,palette-pair-agreeableness-low-and-emotionalstability-low-3,draft
