palette_id,presentation_definition_version,display_order,label,primary_color,secondary_color,accent_color,description,content_review_note,status
palette-single-agreeableness-high-2,presentation-v2,23,包容力のあるミントグリーン,#91A98F,#BFB197,#8C816B,周囲との調和をやわらかく支える緑。,,approved
palette-single-agreeableness-high-3,presentation-v2,24,穏やかなアイボリー,#C8B49A,#C2B1BF,#958389,相手を受け止める穏やかな印象。,,approved
palette-single-agreeableness-low-1,presentation-v2,25,意志ある深い赤,#A65F4B,#A7A292,#7B6757,自分の歩幅を保つ確かな存在感。,,approved
palette-single-agreeableness-low-2,presentation-v2,26,独立心を示す深いブルーグレー,#495A72,#A5968D,#68595C,自分の基準や距離感を示す青。,,approved
palette-single-agreeableness-low-3,presentation-v2,27,揺るがない鉄錆色,#B58A4C,#BCA2A4,#8C6E62,率直さと現実的な判断を思わせる色。,,approved
palette-single-emotionalstability-high-1,presentation-v2,28,凪いだ海の深い青,#5F86A3,#8EB0B1,#577B83,波立ちの少ない水面を思わせる青。,,approved
palette-single-emotionalstability-high-2,presentation-v2,29,安らぎを運ぶ淡い水色,#405D73,#A2978E,#645B5D,落ち着いて進む航路を象徴する色。,,approved
palette-single-emotionalstability-high-3,presentation-v2,30,静穏な青磁色,#41966E,#93A6B0,#527473,穏やかな持続感を表す青緑。,,approved
palette-single-emotionalstability-low-1,presentation-v2,31,移ろう光の淡い紫,#9A83AD,#A2AFB4,#757988,小さな変化を受け取る繊細な紫。,,approved
palette-single-emotionalstability-low-2,presentation-v2,32,揺れる水面の淡い青,#86A8B8,#BBB1A6,#87807F,周囲の気配に振り向く軽い青。,,approved
palette-single-emotionalstability-low-3,presentation-v2,33,繊細な薄紅色の花びら,#C99AA3,#C3A8C2,#96768D,細やかな反応をやわらかく表す色。,,approved
palette-pair-intellectimagination-high-and-conscientiousness-high-1,presentation-v2,34,星夜の深い紺,#344A72,#7F9BA0,#425D6B,構想と記録を同時に支える深い青。,,approved
palette-pair-intellectimagination-high-and-conscientiousness-high-2,presentation-v2,35,精緻な記録の黄金色,#B8954F,#CCAA81,#A0774B,印を置き積み重ねる行為を象徴。,,approved
palette-pair-intellectimagination-high-and-conscientiousness-high-3,presentation-v2,36,冷静な思考の白,#665B94,#A092BD,#645686,発想を構造へ落とし込む紫。,,approved
palette-pair-intellectimagination-high-and-conscientiousness-low-1,presentation-v2,37,夢幻的なペールバイオレット,#9A83C1,#A2AFBB,#757992,自由に広がる想像の余白。,,approved
palette-pair-intellectimagination-high-and-conscientiousness-low-2,presentation-v2,38,自由な空の淡い青,#6F9FBB,#B3AEA7,#7B7C81,形を変えながら流れる発想を表す青。,,approved
palette-pair-intellectimagination-high-and-conscientiousness-low-3,presentation-v2,39,想像力を刺激するミントグリーン,#7FB7A5,#A9B2C3,#71848E,軽やかに方向を変える青緑。,,approved
palette-pair-intellectimagination-low-and-conscientiousness-high-1,presentation-v2,40,実直なオリーブ色,#7C875A,#98B097,#667B5F,具体的な歩みを着実に重ねる色。,,approved
palette-pair-intellectimagination-low-and-conscientiousness-high-2,presentation-v2,41,誠実な土のブラウン,#A5684F,#C69B81,#96604B,手を動かし続ける実直な印象。,,approved
palette-pair-intellectimagination-low-and-conscientiousness-high-3,presentation-v2,42,飾らないストーングレー,#94928A,#B0A5B9,#7B7281,飾らず続ける姿勢を象徴。,,approved
palette-pair-intellectimagination-low-and-conscientiousness-low-1,presentation-v2,43,陽光を浴びた淡い黄色,#D4B64C,#B7C092,#929358,気ままに歩く道の余白。,,approved
palette-pair-intellectimagination-low-and-conscientiousness-low-2,presentation-v2,44,気ままな風のミントグリーン,#7CAB8A,#B7B296,#828268,その場の流れへ自然に馴染む色。,,approved
palette-pair-intellectimagination-low-and-conscientiousness-low-3,presentation-v2,45,柔らかな砂の色,#B6A184,#BCAAB7,#8C797E,決めすぎない穏やかな移動感。,,approved
palette-pair-intellectimagination-high-and-extraversion-high-1,presentation-v2,46,鮮やかなターコイズブルー,#27A9B8,#7ABCB8,#3B8C8E,新しい考えを外へ運ぶ鮮やかな青。,,approved
palette-pair-intellectimagination-high-and-extraversion-high-2,presentation-v2,47,活力を運ぶオレンジゴールド,#DF7168,#DA9E8A,#B36557,言葉や交流の熱を象徴する色。,,approved
palette-pair-intellectimagination-high-and-extraversion-high-3,presentation-v2,48,知的な輝きのゴールド,#D9B54A,#C8B1A3,#9E8361,着想が人の輪に届く明るさ。,,approved
palette-pair-intellectimagination-high-and-extraversion-low-1,presentation-v2,49,静寂を極めた深い黒,#3F4B78,#839BA2,#475D6E,静かな場所で思索を深める色。,,approved
palette-pair-intellectimagination-high-and-extraversion-low-2,presentation-v2,50,宇宙の深淵を映す紫,#665C91,#AF9798,#775A6C,内側で広がる星図を思わせる紫。,,approved
palette-pair-intellectimagination-high-and-extraversion-low-3,presentation-v2,51,遠い星の淡い光色,#5E91A4,#9DA5C3,#60718E,静寂の中に見つかる新しい視点。,,approved
palette-pair-intellectimagination-low-and-extraversion-high-1,presentation-v2,52,賑やかな明るい黄色,#D88A45,#B8B190,#947D54,身近な話題を囲む温かな活気。,,approved
palette-pair-intellectimagination-low-and-extraversion-high-2,presentation-v2,53,親しみやすいアプリコット,#D56F67,#D69D89,#AE6457,人と人の距離を縮める明るい色。,,approved
palette-pair-intellectimagination-low-and-extraversion-high-3,presentation-v2,54,活気ある明るい緑,#459B98,#94A8BE,#547688,にぎわいの中を軽快に行き交う印象。,,approved
palette-pair-intellectimagination-low-and-extraversion-low-1,presentation-v2,55,午後の静けさを映すグレー,#7A7E82,#97ADA5,#657773,静かな室内と外の景色の境界。,,approved
palette-pair-intellectimagination-low-and-extraversion-low-2,presentation-v2,56,穏やかな窓辺の薄青,#4F84A8,#A7A5A0,#6B6E77,慣れた場所に留まる落ち着き。,,approved
palette-pair-intellectimagination-low-and-extraversion-low-3,presentation-v2,57,静かな時間の色である淡いグレー,#B5A89C,#BCADC0,#8C7D8A,身近で具体的な環境を象徴する色。,,approved
palette-pair-intellectimagination-high-and-agreeableness-high-1,presentation-v2,58,共鳴し合う淡いピンク,#B87C96,#ADACAC,#84767D,相手の考えに響き合う柔らかな色。,,approved
palette-pair-intellectimagination-high-and-agreeableness-high-2,presentation-v2,59,包み込むような深い紫,#77659A,#B59A9B,#7F5F70,多様な視点をつなぐ紫。,,approved
palette-pair-intellectimagination-high-and-agreeableness-high-3,presentation-v2,60,調和を促すソフトブルー,#74A9A4,#A5ADC3,#6B7D8E,理解と共感が広がる青緑。,,approved
palette-pair-intellectimagination-high-and-agreeableness-low-1,presentation-v2,61,強い意志を宿す深い青,#315E87,#7EA2A7,#406775,未知へ踏み出す独立した視線。,,approved
palette-pair-intellectimagination-high-and-agreeableness-low-2,presentation-v2,62,未踏の地を拓く深い紫,#694C91,#B19198,#78526C,既存の枠から離れる発想を象徴。,,approved
palette-pair-intellectimagination-high-and-agreeableness-low-3,presentation-v2,63,鋭い理性を照らすオレンジ,#C46F3F,#C1999F,#93605B,自分の道を切り開く力強い差し色。,,approved
palette-pair-intellectimagination-low-and-agreeableness-high-1,presentation-v2,64,温かなサンドベージュ,#C3AD91,#B1BDAA,#898E7A,身近な経験を分かち合う温かさ。,,approved
palette-pair-intellectimagination-low-and-agreeableness-high-2,presentation-v2,65,安らぎを分かつセージグリーン,#8FA487,#BEB095,#8B7E67,実際的な支え合いを象徴する緑。,,approved
palette-pair-intellectimagination-low-and-agreeableness-high-3,presentation-v2,66,穏やかなピーチピンク,#C88F8B,#C2A4BA,#957081,同じ場を囲む親しみの色。,,approved
palette-pair-intellectimagination-low-and-agreeableness-low-1,presentation-v2,67,断定的なオーカー,#B27F3F,#ABAD8E,#817751,具体的な基準を示す明確な色。,,approved
palette-pair-intellectimagination-low-and-agreeableness-low-2,presentation-v2,68,明確な視界の深い青,#45566E,#A4948C,#66575A,自分の判断を落ち着いて掲げる青。,,approved
palette-pair-intellectimagination-low-and-agreeableness-low-3,presentation-v2,69,揺るぎないスレートグレー,#747A78,#A59CB3,#6B6678,事実に基づく硬質な印象。,,approved
palette-pair-intellectimagination-high-and-emotionalstability-high-1,presentation-v2,70,凪いだ空のライトブルー,#6A96B3,#92B5B6,#5D838B,広い視野と静かな安定を表す青。,,approved
palette-pair-intellectimagination-high-and-emotionalstability-high-2,presentation-v2,71,静観する深い紺色,#4E6188,#A79895,#6B5D67,遠くまで考えを伸ばす深い色。,,approved
palette-pair-intellectimagination-high-and-emotionalstability-high-3,presentation-v2,72,澄み切ったミントグリーン,#78A99E,#A6ADC0,#6D7D8B,落ち着いた広がりを象徴する青緑。,,approved
palette-pair-intellectimagination-high-and-emotionalstability-low-1,presentation-v2,73,震える心の色である淡い紫,#9C83B3,#A3AFB6,#76798B,細やかな気配へ反応する紫。,,approved
palette-pair-intellectimagination-high-and-emotionalstability-low-2,presentation-v2,74,瑞々しい朝の緑,#5B9FB0,#ACAEA3,#717C7B,新しい方向へ視線を動かす青。,,approved
palette-pair-intellectimagination-high-and-emotionalstability-low-3,presentation-v2,75,繊細な光のローズピンク,#C58B9C,#C1A2C0,#946E8A,感受性と好奇心が重なる柔らかな色。,,approved
palette-pair-intellectimagination-low-and-emotionalstability-high-1,presentation-v2,76,暖かな陽だまりの黄色,#D0B58D,#B5C0A9,#909278,穏やかで具体的な安心感。,,approved
palette-pair-intellectimagination-low-and-emotionalstability-high-2,presentation-v2,77,穏やかな午後のセージグリーン,#92A083,#BFAE93,#8D7C65,身近な現実を落ち着いて眺める緑。,,approved
palette-pair-intellectimagination-low-and-emotionalstability-high-3,presentation-v2,78,安静な庭のオーカー,#C08A3E,#BFA29F,#916E5B,変化を急がず時間を重ねる色。,,approved
palette-pair-intellectimagination-low-and-emotionalstability-low-1,presentation-v2,79,しっとりとした雨のグレー,#737F88,#95ADA7,#617776,小さな変化に気づく静かな青。,,approved
palette-pair-intellectimagination-low-and-emotionalstability-low-2,presentation-v2,80,濡れた葉の深い緑,#3F704A,#A29E7F,#636448,足元を確かめながら進む色。,,approved
palette-pair-intellectimagination-low-and-emotionalstability-low-3,presentation-v2,81,憂いを帯びた淡いブルー,#6E9FC3,#A3A9CD,#68789D,身近な環境の変化を象徴する緑。,,approved
palette-pair-conscientiousness-high-and-extraversion-high-1,presentation-v2,82,効率的な深い青,#3F5B77,#83A1A1,#47656D,予定と役割を明確にする青。,,approved
palette-pair-conscientiousness-high-and-extraversion-high-2,presentation-v2,83,社交的な明るいオレンジ,#DD8444,#D9A57D,#B26E45,人の輪へ働きかける明るさ。,,approved
palette-pair-conscientiousness-high-and-extraversion-high-3,presentation-v2,84,整理された白,#C9C2B5,#C3B6C9,#968A96,時間を意識して動く印象。,,approved
palette-pair-conscientiousness-high-and-extraversion-low-1,presentation-v2,85,集中を高める温かな琥珀色,#B47B3E,#ACAC8D,#827551,静かな机上を照らす灯りの色。,,approved
palette-pair-conscientiousness-high-and-extraversion-low-2,presentation-v2,86,灯火を見守る深い青,#45556C,#A4948B,#665759,丁寧な作業と集中を象徴する青。,,approved
palette-pair-conscientiousness-high-and-extraversion-low-3,presentation-v2,87,紙のような淡いアイボリー,#8B8983,#ADA2B7,#776D7D,積み重なる記録の落ち着いた色。,,approved
palette-pair-conscientiousness-low-and-extraversion-high-1,presentation-v2,88,軽やかなコーラルピンク,#D97666,#B9AA9B,#947365,予定外の出会いを楽しむ温かさ。,,approved
palette-pair-conscientiousness-low-and-extraversion-high-2,presentation-v2,89,偶然を象徴する明るい若葉色,#8DA65E,#BDB086,#8A7F52,寄り道と柔軟な動きを表す緑。,,approved
palette-pair-conscientiousness-low-and-extraversion-high-3,presentation-v2,90,自由な空の青,#75A2B4,#A5AAC8,#6C7A96,人の流れへ軽やかに合流する青。,,approved
palette-pair-conscientiousness-low-and-extraversion-low-1,presentation-v2,91,贅沢な余白の白,#D7D0C2,#B8CABC,#93A093,空白をそのまま楽しむ穏やかな色。,,approved
palette-pair-conscientiousness-low-and-extraversion-low-2,presentation-v2,92,穏やかな散策のライトグリーン,#6F9A67,#B3AC89,#7B7957,静かな自分のペースを表す緑。,,approved
palette-pair-conscientiousness-low-and-extraversion-low-3,presentation-v2,93,心を解き放つ淡い水色,#739BB4,#A4A8C8,#6B7696,急がず漂う時間を象徴する青灰。,,approved
palette-pair-conscientiousness-high-and-agreeableness-high-1,presentation-v2,94,調和を司るミントグリーン,#829A7D,#9AB7A3,#698570,周囲を整える穏やかな緑。,,approved
palette-pair-conscientiousness-high-and-agreeableness-high-2,presentation-v2,95,責任感ある深い紺,#657F96,#AFA39A,#766C6E,役割や段取りを見通しよくする青。,,approved
palette-pair-conscientiousness-high-and-agreeableness-high-3,presentation-v2,96,準備を整えるローズベージュ,#C38A88,#C0A2B9,#936E80,人を迎える温かさを添える色。,,approved
palette-pair-conscientiousness-high-and-agreeableness-low-1,presentation-v2,97,厳格な境界線の黒,#5F6A73,#8EA6A0,#576D6B,線引きと一貫性を表す灰青。,,approved
palette-pair-conscientiousness-high-and-agreeableness-low-2,presentation-v2,98,理知的な冷たい青,#3F5268,#A2938A,#635557,秩序を保つ端正な青。,,approved
palette-pair-conscientiousness-high-and-agreeableness-low-3,presentation-v2,99,秩序を示すオーカー,#A57B42,#B69DA0,#84665D,基準を明確に示す落ち着いた黄褐色。,,approved
palette-pair-conscientiousness-low-and-agreeableness-high-1,presentation-v2,100,温かな友情の若草色,#95A982,#A1BCA5,#728C73,相手に合わせる柔らかな緑。,,approved
palette-pair-conscientiousness-low-and-agreeableness-high-2,presentation-v2,101,緩やかな時間のコーラル,#CF8774,#D4A68E,#AB705D,予定外の時間を共に楽しむ色。,,approved
palette-pair-conscientiousness-low-and-agreeableness-high-3,presentation-v2,102,包容力ある淡いオレンジ,#C7B092,#C2AFBC,#958185,無理なく続く関わりを象徴。,,approved
palette-pair-conscientiousness-low-and-agreeableness-low-1,presentation-v2,103,誰にも染まらないレンガ色,#A8644F,#A7A493,#7C6A59,自分の判断で進む大地の色。,,approved
palette-pair-conscientiousness-low-and-agreeableness-low-2,presentation-v2,104,独立した精神の深い青,#4C9690,#A6AB98,#6A776B,決められた枠から離れる青緑。,,approved
palette-pair-conscientiousness-low-and-agreeableness-low-3,presentation-v2,105,自由な風のサンドベージュ,#B89E78,#BDA9B3,#8D7878,広い裁量と余白を表す色。,,approved
palette-pair-conscientiousness-high-and-emotionalstability-high-1,presentation-v2,106,安定した深い青,#415C70,#83A19F,#48666A,計画と落ち着きが同居する深い青。,,approved
palette-pair-conscientiousness-high-and-emotionalstability-high-2,presentation-v2,107,凪いだ海の白,#C7D5D8,#D1C1B1,#A7978F,安定した流れを象徴する青灰。,,approved
palette-pair-conscientiousness-high-and-emotionalstability-high-3,presentation-v2,108,冷静な判断のセージグレー,#5E8B6E,#9DA2B0,#606E73,無理なく続く秩序を表す緑。,,approved
palette-pair-conscientiousness-high-and-emotionalstability-low-1,presentation-v2,109,揺らぐ感情を照らす琥珀色,#B77D45,#ADAC90,#837654,気づきと準備を照らす灯りの色。,,approved
palette-pair-conscientiousness-high-and-emotionalstability-low-2,presentation-v2,110,整頓しようとする深い青,#5D748A,#AC9F96,#726668,不確実さを段取りで整理する青。,,approved
palette-pair-conscientiousness-high-and-emotionalstability-low-3,presentation-v2,111,灯火の淡い黄色,#8B8191,#AD9FBC,#776984,繊細さと規律が重なる色。,,approved
palette-pair-conscientiousness-low-and-emotionalstability-high-1,presentation-v2,112,流れる水の淡いブルー,#6DA6A3,#93BBB1,#5E8B83,流れに合わせて形を変える青緑。,,approved
palette-pair-conscientiousness-low-and-emotionalstability-high-2,presentation-v2,113,軽やかな風の若草色,#78A665,#B6B089,#807F56,落ち着いて移動する空気感。,,approved
palette-pair-conscientiousness-low-and-emotionalstability-high-3,presentation-v2,114,漂う雲の白,#B9A17D,#BDAAB5,#8E797A,成り行きを受け止める穏やかな色。,,approved
palette-pair-conscientiousness-low-and-emotionalstability-low-1,presentation-v2,115,揺れる影の深い紫灰,#8E738A,#9EA9A8,#6F7177,感情や状況の揺らぎを象徴する紫灰。,,approved
palette-pair-conscientiousness-low-and-emotionalstability-low-2,presentation-v2,116,繊細な感性の淡いブルーグレー,#758EA0,#B5A89D,#7E7373,定まらない歩みを静かに表す青。,,approved
palette-pair-conscientiousness-low-and-emotionalstability-low-3,presentation-v2,117,儚い光のベージュ,#B69A72,#BCA8B1,#8C7675,夕暮れの曖昧な輪郭を思わせる色。,,approved
palette-pair-extraversion-high-and-agreeableness-high-1,presentation-v2,118,華やかなコーラルピンク,#D96F67,#B9A89C,#946F65,人と一緒に場へ踏み出す温かい色。,,approved
palette-pair-extraversion-high-and-agreeableness-high-2,presentation-v2,119,共演する明るいターコイズ,#3F9C98,#A2AD9B,#637A6F,協力しながら動く軽快な青緑。,,approved
palette-pair-extraversion-high-and-agreeableness-high-3,presentation-v2,120,活気ある黄金色,#D0A24C,#C5AAA4,#997A62,共有される喜びを象徴する色。,,approved
palette-pair-extraversion-high-and-agreeableness-low-1,presentation-v2,121,強烈な個性の赤,#C8564F,#B39F93,#8C6359,自分の色を明確に掲げる赤。,,approved
palette-pair-extraversion-high-and-agreeableness-low-2,presentation-v2,122,鮮やかな対比の深い青,#3E6485,#A19994,#635E66,周囲に流されない判断を表す青。,,approved
palette-pair-extraversion-high-and-agreeableness-low-3,presentation-v2,123,揺るがない信念のマゼンタ,#A94F7A,#B78DB4,#865079,存在感のある主張を象徴する色。,,approved
palette-pair-extraversion-low-and-agreeableness-high-1,presentation-v2,124,寄り添う淡いセージグリーン,#8FA18A,#9FB9A8,#6F8877,静かな場所から相手を見守る緑。,,approved
palette-pair-extraversion-low-and-agreeableness-high-2,presentation-v2,125,静観するブルーグレー,#728C9B,#B4A79C,#7D7271,控えめな支えを表す青灰。,,approved
palette-pair-extraversion-low-and-agreeableness-high-3,presentation-v2,126,安らぎのパールホワイト,#C5A0A2,#C1AAC2,#94798D,言葉にしすぎない温かさ。,,approved
palette-pair-extraversion-low-and-agreeableness-low-1,presentation-v2,127,孤独を愛する深い紺,#465469,#859E9C,#4B6266,自分に合う距離を選ぶ深い青。,,approved
palette-pair-extraversion-low-and-agreeableness-low-2,presentation-v2,128,自分の席を守るグレー,#777C7E,#B5A292,#7F6A62,必要な場所に静かに留まる色。,,approved
palette-pair-extraversion-low-and-agreeableness-low-3,presentation-v2,129,静寂を湛えるブラウン,#9A644A,#B295A3,#7E5B61,自分の居場所を象徴する木の色。,,approved
palette-pair-extraversion-high-and-emotionalstability-high-1,presentation-v2,130,心を寛げる明るいターコイズ,#4B9C96,#87B7AC,#4D867D,交流の中でも自然体でいる青緑。,,approved
palette-pair-extraversion-high-and-emotionalstability-high-2,presentation-v2,131,安定した社交のコーラル,#D97A6B,#D8A18B,#B06959,穏やかな活気を表す色。,,approved
palette-pair-extraversion-high-and-emotionalstability-high-3,presentation-v2,132,包容力あるスカイブルー,#557FBD,#9A9ECB,#5C689A,開放感と落ち着きが重なる青。,,approved
palette-pair-extraversion-high-and-emotionalstability-low-1,presentation-v2,133,ざわめきを象徴する鮮やかなコーラル,#CF6F72,#B5A8A0,#8F6F6B,人の反応へ敏感に振り向く色。,,approved
palette-pair-extraversion-high-and-emotionalstability-low-2,presentation-v2,134,揺らぐ感情のターコイズ,#4D9FAD,#A7AEA2,#6A7C7A,交流へ踏み出す軽快な青。,,approved
palette-pair-extraversion-high-and-emotionalstability-low-3,presentation-v2,135,参加意欲を包む淡い紫,#9A7FA9,#B29EC4,#7E6890,周囲の気配が残る余韻を表す紫。,,approved
palette-pair-extraversion-low-and-emotionalstability-high-1,presentation-v2,136,芽吹きを待つ若葉色,#879C78,#9CB7A2,#6B866E,静かに時機を待つ若葉の色。,,approved
palette-pair-extraversion-low-and-emotionalstability-high-2,presentation-v2,137,安定した待機の深い緑,#6D8492,#B2A599,#7A6E6C,落ち着いた場所に留まる青灰。,,approved
palette-pair-extraversion-low-and-emotionalstability-high-3,presentation-v2,138,静かな期待の白,#C2AD8E,#C0AEBB,#927F83,ゆっくり始まる変化を象徴する色。,,approved
palette-pair-extraversion-low-and-emotionalstability-low-1,presentation-v2,139,薄明のスレートブルー,#5C748B,#8DA9A8,#567277,夜と朝の境界に耳を澄ます青。,,approved
palette-pair-extraversion-low-and-emotionalstability-low-2,presentation-v2,140,繊細な夜明けの紫灰,#8566A1,#BA9A9E,#865F74,静けさと繊細さが重なる紫灰。,,approved
palette-pair-extraversion-low-and-emotionalstability-low-3,presentation-v2,141,静寂を湛えるセージグレー,#5D8870,#9DA1B0,#606D74,刺激を抑えた森の気配を表す色。,,approved
palette-pair-agreeableness-high-and-emotionalstability-high-1,presentation-v2,142,調和する淡いピンク,#C58C91,#B2B2AA,#8A7E7A,穏やかに向かい合う温かな色。,,approved
palette-pair-agreeableness-high-and-emotionalstability-high-2,presentation-v2,143,穏やかな共有のミントグリーン,#659B6D,#AFAD8C,#767A5A,落ち着いた協調を象徴する緑。,,approved
palette-pair-agreeableness-high-and-emotionalstability-high-3,presentation-v2,144,安定した共存のブルーグレー,#6E909E,#A3A4C0,#68718B,感情に流されず関係を保つ青。,,approved
palette-pair-agreeableness-high-and-emotionalstability-low-1,presentation-v2,145,共鳴し揺れるローズピンク,#BE8695,#AFB0AC,#877B7C,相手の気配を細やかに受け取る色。,,approved
palette-pair-agreeableness-high-and-emotionalstability-low-2,presentation-v2,146,温かな寄り添いの淡い紫,#8464AA,#BA99A1,#865E78,関係の揺らぎに寄り添う紫。,,approved
palette-pair-agreeableness-high-and-emotionalstability-low-3,presentation-v2,147,繊細な調和のライトブルー,#7A97A5,#A7A7C3,#6E748E,周囲の変化を映す柔らかな青。,,approved
palette-pair-agreeableness-low-and-emotionalstability-high-1,presentation-v2,148,淡々とした理性のグレー,#5E6A70,#8DA69F,#576D6A,感情に流されず立場を示す灰青。,,approved
palette-pair-agreeableness-low-and-emotionalstability-high-2,presentation-v2,149,揺るがない安定の深い青,#3F5368,#A2938A,#635657,静かな確かさを持つ青。,,approved
palette-pair-agreeableness-low-and-emotionalstability-high-3,presentation-v2,150,明快な表明のトープ,#8A7363,#AC9AAC,#76626D,現実的で率直な印象を表す色。,,approved
palette-pair-agreeableness-low-and-emotionalstability-low-1,presentation-v2,151,情熱的に鳴る深い赤,#854E5E,#9B9C99,#6A5F61,緊張感を含んだ明確な表明の色。,,approved
palette-pair-agreeableness-low-and-emotionalstability-low-2,presentation-v2,152,嵐を見渡す深い青,#44556A,#A4948B,#665758,境界に立ち周囲を見渡す青。,,approved
palette-pair-agreeableness-low-and-emotionalstability-low-3,presentation-v2,153,強い意志を示すプラム,#765792,#A590BC,#6C5485,細やかな反応と自己主張が重なる紫灰。,,approved
