palette_id,presentation_definition_version,display_order,background_source,background_mix_with,background_mix_percent,surface_source,surface_mix_with,surface_mix_percent,accent_source,accent_mix_with,accent_mix_percent,chart_source,chart_mix_with,chart_mix_percent,text_candidate_1,text_candidate_2,status
palette-pair-intellectimagination-low-and-conscientiousness-low-2,presentation-v2,44,primary,white,84,secondary,white,90,accent,black,45,primary,black,45,#1F2430,#FFFFFF,approved
palette-pair-intellectimagination-low-and-conscientiousness-low-3,presentation-v2,45,primary,white,84,secondary,white,90,accent,black,45,primary,black,45,#1F2430,#FFFFFF,approved
palette-pair-intellectimagination-high-and-extraversion-high-1,presentation-v2,46,primary,white,84,secondary,white,90,accent,black,45,primary,black,45,#1F2430,#FFFFFF,approved
palette-pair-intellectimagination-high-and-extraversion-high-2,presentation-v2,47,primary,white,84,secondary,white,90,accent,black,45,primary,black,45,#1F2430,#FFFFFF,approved
palette-pair-intellectimagination-high-and-extraversion-high-3,presentation-v2,48,primary,white,84,secondary,white,90,accent,black,45,primary,black,45,#1F2430,#FFFFFF,approved
palette-pair-intellectimagination-high-and-extraversion-low-1,presentation-v2,49,primary,white,84,secondary,white,90,accent,black,45,primary,black,45,#1F2430,#FFFFFF,approved
palette-pair-intellectimagination-high-and-extraversion-low-2,presentation-v2,50,primary,white,84,secondary,white,90,accent,black,45,primary,black,45,#1F2430,#FFFFFF,approved
palette-pair-intellectimagination-high-and-extraversion-low-3,presentation-v2,51,primary,white,84,secondary,white,90,accent,black,45,primary,black,45,#1F2430,#FFFFFF,approved
palette-pair-intellectimagination-low-and-extraversion-high-1,presentation-v2,52,primary,white,84,secondary,white,90,accent,black,45,primary,black,45,#1F2430,#FFFFFF,approved
palette-pair-intellectimagination-low-and-extraversion-high-2,presentation-v2,53,primary,white,84,secondary,white,90,accent,black,45,primary,black,45,#1F2430,#FFFFFF,approved
palette-pair-intellectimagination-low-and-extraversion-high-3,presentation-v2,54,primary,white,84,secondary,white,90,accent,black,45,primary,black,45,#1F2430,#FFFFFF,approved
palette-pair-intellectimagination-low-and-extraversion-low-1,presentation-v2,55,primary,white,84,secondary,white,90,accent,black,45,primary,black,45,#1F2430,#FFFFFF,approved
palette-pair-intellectimagination-low-and-extraversion-low-2,presentation-v2,56,primary,white,84,secondary,white,90,accent,black,45,primary,black,45,#1F2430,#FFFFFF,approved
palette-pair-intellectimagination-low-and-extraversion-low-3,presentation-v2,57,primary,white,84,secondary,white,90,accent,black,45,primary,black,45,#1F2430,#FFFFFF,approved
palette-pair-intellectimagination-high-and-agreeableness-high-1,presentation-v2,58,primary,white,84,secondary,white,90,accent,black,45,primary,black,45,#1F2430,#FFFFFF,approved
palette-pair-intellectimagination-high-and-agreeableness-high-2,presentation-v2,59,primary,white,84,secondary,white,90,accent,black,45,primary,black,45,#1F2430,#FFFFFF,approved
palette-pair-intellectimagination-high-and-agreeableness-high-3,presentation-v2,60,primary,white,84,secondary,white,90,accent,black,45,primary,black,45,#1F2430,#FFFFFF,approved
palette-pair-intellectimagination-high-and-agreeableness-low-1,presentation-v2,61,primary,white,84,secondary,white,90,accent,black,45,primary,black,45,#1F2430,#FFFFFF,approved
palette-pair-intellectimagination-high-and-agreeableness-low-2,presentation-v2,62,primary,white,84,secondary,white,90,accent,black,45,primary,black,45,#1F2430,#FFFFFF,approved
palette-pair-intellectimagination-high-and-agreeableness-low-3,presentation-v2,63,primary,white,84,secondary,white,90,accent,black,45,primary,black,45,#1F2430,#FFFFFF,approved
palette-pair-intellectimagination-low-and-agreeableness-high-1,presentation-v2,64,primary,white,84,secondary,white,90,accent,black,45,primary,black,45,#1F2430,#FFFFFF,approved
palette-pair-intellectimagination-low-and-agreeableness-high-2,presentation-v2,65,primary,white,84,secondary,white,90,accent,black,45,primary,black,45,#1F2430,#FFFFFF,approved
palette-pair-intellectimagination-low-and-agreeableness-high-3,presentation-v2,66,primary,white,84,secondary,white,90,accent,black,45,primary,black,45,#1F2430,#FFFFFF,approved
palette-pair-intellectimagination-low-and-agreeableness-low-1,presentation-v2,67,primary,white,84,secondary,white,90,accent,black,45,primary,black,45,#1F2430,#FFFFFF,approved
palette-pair-intellectimagination-low-and-agreeableness-low-2,presentation-v2,68,primary,white,84,secondary,white,90,accent,black,45,primary,black,45,#1F2430,#FFFFFF,approved
palette-pair-intellectimagination-low-and-agreeableness-low-3,presentation-v2,69,primary,white,84,secondary,white,90,accent,black,45,primary,black,45,#1F2430,#FFFFFF,approved
palette-pair-intellectimagination-high-and-emotionalstability-high-1,presentation-v2,70,primary,white,84,secondary,white,90,accent,black,45,primary,black,45,#1F2430,#FFFFFF,approved
palette-pair-intellectimagination-high-and-emotionalstability-high-2,presentation-v2,71,primary,white,84,secondary,white,90,accent,black,45,primary,black,45,#1F2430,#FFFFFF,approved
palette-pair-intellectimagination-high-and-emotionalstability-high-3,presentation-v2,72,primary,white,84,secondary,white,90,accent,black,45,primary,black,45,#1F2430,#FFFFFF,approved
palette-pair-intellectimagination-high-and-emotionalstability-low-1,presentation-v2,73,primary,white,84,secondary,white,90,accent,black,45,primary,black,45,#1F2430,#FFFFFF,approved
palette-pair-intellectimagination-high-and-emotionalstability-low-2,presentation-v2,74,primary,white,84,secondary,white,90,accent,black,45,primary,black,45,#1F2430,#FFFFFF,approved
palette-pair-intellectimagination-high-and-emotionalstability-low-3,presentation-v2,75,primary,white,84,secondary,white,90,accent,black,45,primary,black,45,#1F2430,#FFFFFF,approved
palette-pair-intellectimagination-low-and-emotionalstability-high-1,presentation-v2,76,primary,white,84,secondary,white,90,accent,black,45,primary,black,45,#1F2430,#FFFFFF,approved
palette-pair-intellectimagination-low-and-emotionalstability-high-2,presentation-v2,77,primary,white,84,secondary,white,90,accent,black,45,primary,black,45,#1F2430,#FFFFFF,approved
palette-pair-intellectimagination-low-and-emotionalstability-high-3,presentation-v2,78,primary,white,84,secondary,white,90,accent,black,45,primary,black,45,#1F2430,#FFFFFF,approved
palette-pair-intellectimagination-low-and-emotionalstability-low-1,presentation-v2,79,primary,white,84,secondary,white,90,accent,black,45,primary,black,45,#1F2430,#FFFFFF,approved
palette-pair-intellectimagination-low-and-emotionalstability-low-2,presentation-v2,80,primary,white,84,secondary,white,90,accent,black,45,primary,black,45,#1F2430,#FFFFFF,approved
palette-pair-intellectimagination-low-and-emotionalstability-low-3,presentation-v2,81,primary,white,84,secondary,white,90,accent,black,45,primary,black,45,#1F2430,#FFFFFF,approved
palette-pair-conscientiousness-high-and-extraversion-high-1,presentation-v2,82,primary,white,84,secondary,white,90,accent,black,45,primary,black,45,#1F2430,#FFFFFF,approved
palette-pair-conscientiousness-high-and-extraversion-high-2,presentation-v2,83,primary,white,84,secondary,white,90,accent,black,45,primary,black,45,#1F2430,#FFFFFF,approved
palette-pair-conscientiousness-high-and-extraversion-high-3,presentation-v2,84,primary,white,84,secondary,white,90,accent,black,45,primary,black,45,#1F2430,#FFFFFF,approved
palette-pair-conscientiousness-high-and-extraversion-low-1,presentation-v2,85,primary,white,84,secondary,white,90,accent,black,45,primary,black,45,#1F2430,#FFFFFF,approved
palette-pair-conscientiousness-high-and-extraversion-low-2,presentation-v2,86,primary,white,84,secondary,white,90,accent,black,45,primary,black,45,#1F2430,#FFFFFF,approved
palette-pair-conscientiousness-high-and-extraversion-low-3,presentation-v2,87,primary,white,84,secondary,white,90,accent,black,45,primary,black,45,#1F2430,#FFFFFF,approved
palette-pair-conscientiousness-low-and-extraversion-high-1,presentation-v2,88,primary,white,84,secondary,white,90,accent,black,45,primary,black,45,#1F2430,#FFFFFF,approved
palette-pair-conscientiousness-low-and-extraversion-high-2,presentation-v2,89,primary,white,84,secondary,white,90,accent,black,45,primary,black,45,#1F2430,#FFFFFF,approved
palette-pair-conscientiousness-low-and-extraversion-high-3,presentation-v2,90,primary,white,84,secondary,white,90,accent,black,45,primary,black,45,#1F2430,#FFFFFF,approved
palette-pair-conscientiousness-low-and-extraversion-low-1,presentation-v2,91,primary,white,84,secondary,white,90,accent,black,45,primary,black,45,#1F2430,#FFFFFF,approved
palette-pair-conscientiousness-low-and-extraversion-low-2,presentation-v2,92,primary,white,84,secondary,white,90,accent,black,45,primary,black,45,#1F2430,#FFFFFF,approved
palette-pair-conscientiousness-low-and-extraversion-low-3,presentation-v2,93,primary,white,84,secondary,white,90,accent,black,45,primary,black,45,#1F2430,#FFFFFF,approved
palette-pair-conscientiousness-high-and-agreeableness-high-1,presentation-v2,94,primary,white,84,secondary,white,90,accent,black,45,primary,black,45,#1F2430,#FFFFFF,approved
palette-pair-conscientiousness-high-and-agreeableness-high-2,presentation-v2,95,primary,white,84,secondary,white,90,accent,black,45,primary,black,45,#1F2430,#FFFFFF,approved
palette-pair-conscientiousness-high-and-agreeableness-high-3,presentation-v2,96,primary,white,84,secondary,white,90,accent,black,45,primary,black,45,#1F2430,#FFFFFF,approved
palette-pair-conscientiousness-high-and-agreeableness-low-1,presentation-v2,97,primary,white,84,secondary,white,90,accent,black,45,primary,black,45,#1F2430,#FFFFFF,approved
palette-pair-conscientiousness-high-and-agreeableness-low-2,presentation-v2,98,primary,white,84,secondary,white,90,accent,black,45,primary,black,45,#1F2430,#FFFFFF,approved
palette-pair-conscientiousness-high-and-agreeableness-low-3,presentation-v2,99,primary,white,84,secondary,white,90,accent,black,45,primary,black,45,#1F2430,#FFFFFF,approved
palette-pair-conscientiousness-low-and-agreeableness-high-1,presentation-v2,100,primary,white,84,secondary,white,90,accent,black,45,primary,black,45,#1F2430,#FFFFFF,approved
palette-pair-conscientiousness-low-and-agreeableness-high-2,presentation-v2,101,primary,white,84,secondary,white,90,accent,black,45,primary,black,45,#1F2430,#FFFFFF,approved
palette-pair-conscientiousness-low-and-agreeableness-high-3,presentation-v2,102,primary,white,84,secondary,white,90,accent,black,45,primary,black,45,#1F2430,#FFFFFF,approved
palette-pair-conscientiousness-low-and-agreeableness-low-1,presentation-v2,103,primary,white,84,secondary,white,90,accent,black,45,primary,black,45,#1F2430,#FFFFFF,approved
palette-pair-conscientiousness-low-and-agreeableness-low-2,presentation-v2,104,primary,white,84,secondary,white,90,accent,black,45,primary,black,45,#1F2430,#FFFFFF,approved
palette-pair-conscientiousness-low-and-agreeableness-low-3,presentation-v2,105,primary,white,84,secondary,white,90,accent,black,45,primary,black,45,#1F2430,#FFFFFF,approved
palette-pair-conscientiousness-high-and-emotionalstability-high-1,presentation-v2,106,primary,white,84,secondary,white,90,accent,black,45,primary,black,45,#1F2430,#FFFFFF,approved
palette-pair-conscientiousness-high-and-emotionalstability-high-2,presentation-v2,107,primary,white,84,secondary,white,90,accent,black,45,primary,black,45,#1F2430,#FFFFFF,approved
palette-pair-conscientiousness-high-and-emotionalstability-high-3,presentation-v2,108,primary,white,84,secondary,white,90,accent,black,45,primary,black,45,#1F2430,#FFFFFF,approved
palette-pair-conscientiousness-high-and-emotionalstability-low-1,presentation-v2,109,primary,white,84,secondary,white,90,accent,black,45,primary,black,45,#1F2430,#FFFFFF,approved
palette-pair-conscientiousness-high-and-emotionalstability-low-2,presentation-v2,110,primary,white,84,secondary,white,90,accent,black,45,primary,black,45,#1F2430,#FFFFFF,approved
palette-pair-conscientiousness-high-and-emotionalstability-low-3,presentation-v2,111,primary,white,84,secondary,white,90,accent,black,45,primary,black,45,#1F2430,#FFFFFF,approved
palette-pair-conscientiousness-low-and-emotionalstability-high-1,presentation-v2,112,primary,white,84,secondary,white,90,accent,black,45,primary,black,45,#1F2430,#FFFFFF,approved
palette-pair-conscientiousness-low-and-emotionalstability-high-2,presentation-v2,113,primary,white,84,secondary,white,90,accent,black,45,primary,black,45,#1F2430,#FFFFFF,approved
palette-pair-conscientiousness-low-and-emotionalstability-high-3,presentation-v2,114,primary,white,84,secondary,white,90,accent,black,45,primary,black,45,#1F2430,#FFFFFF,approved
palette-pair-conscientiousness-low-and-emotionalstability-low-1,presentation-v2,115,primary,white,84,secondary,white,90,accent,black,45,primary,black,45,#1F2430,#FFFFFF,approved
palette-pair-conscientiousness-low-and-emotionalstability-low-2,presentation-v2,116,primary,white,84,secondary,white,90,accent,black,45,primary,black,45,#1F2430,#FFFFFF,approved
palette-pair-conscientiousness-low-and-emotionalstability-low-3,presentation-v2,117,primary,white,84,secondary,white,90,accent,black,45,primary,black,45,#1F2430,#FFFFFF,approved
palette-pair-extraversion-high-and-agreeableness-high-1,presentation-v2,118,primary,white,84,secondary,white,90,accent,black,45,primary,black,45,#1F2430,#FFFFFF,approved
palette-pair-extraversion-high-and-agreeableness-high-2,presentation-v2,119,primary,white,84,secondary,white,90,accent,black,45,primary,black,45,#1F2430,#FFFFFF,approved
palette-pair-extraversion-high-and-agreeableness-high-3,presentation-v2,120,primary,white,84,secondary,white,90,accent,black,45,primary,black,45,#1F2430,#FFFFFF,approved
palette-pair-extraversion-high-and-agreeableness-low-1,presentation-v2,121,primary,white,84,secondary,white,90,accent,black,45,primary,black,45,#1F2430,#FFFFFF,approved
palette-pair-extraversion-high-and-agreeableness-low-2,presentation-v2,122,primary,white,84,secondary,white,90,accent,black,45,primary,black,45,#1F2430,#FFFFFF,approved
palette-pair-extraversion-high-and-agreeableness-low-3,presentation-v2,123,primary,white,84,secondary,white,90,accent,black,45,primary,black,45,#1F2430,#FFFFFF,approved
palette-pair-extraversion-low-and-agreeableness-high-1,presentation-v2,124,primary,white,84,secondary,white,90,accent,black,45,primary,black,45,#1F2430,#FFFFFF,approved
palette-pair-extraversion-low-and-agreeableness-high-2,presentation-v2,125,primary,white,84,secondary,white,90,accent,black,45,primary,black,45,#1F2430,#FFFFFF,approved
palette-pair-extraversion-low-and-agreeableness-high-3,presentation-v2,126,primary,white,84,secondary,white,90,accent,black,45,primary,black,45,#1F2430,#FFFFFF,approved
palette-pair-extraversion-low-and-agreeableness-low-1,presentation-v2,127,primary,white,84,secondary,white,90,accent,black,45,primary,black,45,#1F2430,#FFFFFF,approved
palette-pair-extraversion-low-and-agreeableness-low-2,presentation-v2,128,primary,white,84,secondary,white,90,accent,black,45,primary,black,45,#1F2430,#FFFFFF,approved
palette-pair-extraversion-low-and-agreeableness-low-3,presentation-v2,129,primary,white,84,secondary,white,90,accent,black,45,primary,black,45,#1F2430,#FFFFFF,approved
palette-pair-extraversion-high-and-emotionalstability-high-1,presentation-v2,130,primary,white,84,secondary,white,90,accent,black,45,primary,black,45,#1F2430,#FFFFFF,approved
palette-pair-extraversion-high-and-emotionalstability-high-2,presentation-v2,131,primary,white,84,secondary,white,90,accent,black,45,primary,black,45,#1F2430,#FFFFFF,approved
palette-pair-extraversion-high-and-emotionalstability-high-3,presentation-v2,132,primary,white,84,secondary,white,90,accent,black,45,primary,black,45,#1F2430,#FFFFFF,approved
palette-pair-extraversion-high-and-emotionalstability-low-1,presentation-v2,133,primary,white,84,secondary,white,90,accent,black,45,primary,black,45,#1F2430,#FFFFFF,approved
palette-pair-extraversion-high-and-emotionalstability-low-2,presentation-v2,134,primary,white,84,secondary,white,90,accent,black,45,primary,black,45,#1F2430,#FFFFFF,approved
palette-pair-extraversion-high-and-emotionalstability-low-3,presentation-v2,135,primary,white,84,secondary,white,90,accent,black,45,primary,black,45,#1F2430,#FFFFFF,approved
palette-pair-extraversion-low-and-emotionalstability-high-1,presentation-v2,136,primary,white,84,secondary,white,90,accent,black,45,primary,black,45,#1F2430,#FFFFFF,approved
palette-pair-extraversion-low-and-emotionalstability-high-2,presentation-v2,137,primary,white,84,secondary,white,90,accent,black,45,primary,black,45,#1F2430,#FFFFFF,approved
palette-pair-extraversion-low-and-emotionalstability-high-3,presentation-v2,138,primary,white,84,secondary,white,90,accent,black,45,primary,black,45,#1F2430,#FFFFFF,approved
palette-pair-extraversion-low-and-emotionalstability-low-1,presentation-v2,139,primary,white,84,secondary,white,90,accent,black,45,primary,black,45,#1F2430,#FFFFFF,approved
palette-pair-extraversion-low-and-emotionalstability-low-2,presentation-v2,140,primary,white,84,secondary,white,90,accent,black,45,primary,black,45,#1F2430,#FFFFFF,approved
palette-pair-extraversion-low-and-emotionalstability-low-3,presentation-v2,141,primary,white,84,secondary,white,90,accent,black,45,primary,black,45,#1F2430,#FFFFFF,approved
palette-pair-agreeableness-high-and-emotionalstability-high-1,presentation-v2,142,primary,white,84,secondary,white,90,accent,black,45,primary,black,45,#1F2430,#FFFFFF,approved
palette-pair-agreeableness-high-and-emotionalstability-high-2,presentation-v2,143,primary,white,84,secondary,white,90,accent,black,45,primary,black,45,#1F2430,#FFFFFF,approved
palette-pair-agreeableness-high-and-emotionalstability-high-3,presentation-v2,144,primary,white,84,secondary,white,90,accent,black,45,primary,black,45,#1F2430,#FFFFFF,approved
palette-pair-agreeableness-high-and-emotionalstability-low-1,presentation-v2,145,primary,white,84,secondary,white,90,accent,black,45,primary,black,45,#1F2430,#FFFFFF,approved
palette-pair-agreeableness-high-and-emotionalstability-low-2,presentation-v2,146,primary,white,84,secondary,white,90,accent,black,45,primary,black,45,#1F2430,#FFFFFF,approved
palette-pair-agreeableness-high-and-emotionalstability-low-3,presentation-v2,147,primary,white,84,secondary,white,90,accent,black,45,primary,black,45,#1F2430,#FFFFFF,approved
palette-pair-agreeableness-low-and-emotionalstability-high-1,presentation-v2,148,primary,white,84,secondary,white,90,accent,black,45,primary,black,45,#1F2430,#FFFFFF,approved
palette-pair-agreeableness-low-and-emotionalstability-high-2,presentation-v2,149,primary,white,84,secondary,white,90,accent,black,45,primary,black,45,#1F2430,#FFFFFF,approved
palette-pair-agreeableness-low-and-emotionalstability-high-3,presentation-v2,150,primary,white,84,secondary,white,90,accent,black,45,primary,black,45,#1F2430,#FFFFFF,approved
palette-pair-agreeableness-low-and-emotionalstability-low-1,presentation-v2,151,primary,white,84,secondary,white,90,accent,black,45,primary,black,45,#1F2430,#FFFFFF,approved
palette-pair-agreeableness-low-and-emotionalstability-low-2,presentation-v2,152,primary,white,84,secondary,white,90,accent,black,45,primary,black,45,#1F2430,#FFFFFF,approved
palette-pair-agreeableness-low-and-emotionalstability-low-3,presentation-v2,153,primary,white,84,secondary,white,90,accent,black,45,primary,black,45,#1F2430,#FFFFFF,approved
