title_id,title_rule_version,display_order,label,kind,character_id,summary_text_id,default_palette_id,status
title-pair-intellectImagination-low--agreeableness-high,title-rule-v1,22,分かち合う同席者,pair,character-pair-intellectImagination-low--agreeableness-high,result-text-pair-intellectImagination-low--agreeableness-high,palette-default,reviewed
title-pair-intellectImagination-low--agreeableness-low,title-rule-v1,23,標を示す表明者,pair,character-pair-intellectImagination-low--agreeableness-low,result-text-pair-intellectImagination-low--agreeableness-low,palette-default,reviewed
title-pair-intellectImagination-high--emotionalStability-high,title-rule-v1,24,凪空を仰ぐ観望者,pair,character-pair-intellectImagination-high--emotionalStability-high,result-text-pair-intellectImagination-high--emotionalStability-high,palette-default,reviewed
title-pair-intellectImagination-high--emotionalStability-low,title-rule-v1,25,鈴音に振り向く探訪者,pair,character-pair-intellectImagination-high--emotionalStability-low,result-text-pair-intellectImagination-high--emotionalStability-low,palette-default,reviewed
title-pair-intellectImagination-low--emotionalStability-high,title-rule-v1,26,日だまりの静観者,pair,character-pair-intellectImagination-low--emotionalStability-high,result-text-pair-intellectImagination-low--emotionalStability-high,palette-default,reviewed
title-pair-intellectImagination-low--emotionalStability-low,title-rule-v1,27,雨音に振り向く歩行者,pair,character-pair-intellectImagination-low--emotionalStability-low,result-text-pair-intellectImagination-low--emotionalStability-low,palette-default,reviewed
title-pair-conscientiousness-high--extraversion-high,title-rule-v1,28,刻限に集う交流者,pair,character-pair-conscientiousness-high--extraversion-high,result-text-pair-conscientiousness-high--extraversion-high,palette-default,reviewed
title-pair-conscientiousness-high--extraversion-low,title-rule-v1,29,灯下の記録者,pair,character-pair-conscientiousness-high--extraversion-low,result-text-pair-conscientiousness-high--extraversion-low,palette-default,reviewed
title-pair-conscientiousness-low--extraversion-high,title-rule-v1,30,道草の合流者,pair,character-pair-conscientiousness-low--extraversion-high,result-text-pair-conscientiousness-low--extraversion-high,palette-default,reviewed
title-pair-conscientiousness-low--extraversion-low,title-rule-v1,31,余白を楽しむ散策者,pair,character-pair-conscientiousness-low--extraversion-low,result-text-pair-conscientiousness-low--extraversion-low,palette-default,reviewed
title-pair-conscientiousness-high--agreeableness-high,title-rule-v1,32,輪を整える準備者,pair,character-pair-conscientiousness-high--agreeableness-high,result-text-pair-conscientiousness-high--agreeableness-high,palette-default,reviewed
title-pair-conscientiousness-high--agreeableness-low,title-rule-v1,33,線を引く整頓者,pair,character-pair-conscientiousness-high--agreeableness-low,result-text-pair-conscientiousness-high--agreeableness-low,palette-default,reviewed
title-pair-conscientiousness-low--agreeableness-high,title-rule-v1,34,寄り道をともにする同行者,pair,character-pair-conscientiousness-low--agreeableness-high,result-text-pair-conscientiousness-low--agreeableness-high,palette-default,reviewed
title-pair-conscientiousness-low--agreeableness-low,title-rule-v1,35,自由な独行者,pair,character-pair-conscientiousness-low--agreeableness-low,result-text-pair-conscientiousness-low--agreeableness-low,palette-default,reviewed
title-pair-conscientiousness-high--emotionalStability-high,title-rule-v1,36,凪の計画者,pair,character-pair-conscientiousness-high--emotionalStability-high,result-text-pair-conscientiousness-high--emotionalStability-high,palette-default,reviewed
title-pair-conscientiousness-high--emotionalStability-low,title-rule-v1,37,揺れ灯の整頓者,pair,character-pair-conscientiousness-high--emotionalStability-low,result-text-pair-conscientiousness-high--emotionalStability-low,palette-default,reviewed
title-pair-conscientiousness-low--emotionalStability-high,title-rule-v1,38,流れをゆく漂泊者,pair,character-pair-conscientiousness-low--emotionalStability-high,result-text-pair-conscientiousness-low--emotionalStability-high,palette-default,reviewed
title-pair-conscientiousness-low--emotionalStability-low,title-rule-v1,39,揺れ影の遊歩者,pair,character-pair-conscientiousness-low--emotionalStability-low,result-text-pair-conscientiousness-low--emotionalStability-low,palette-default,reviewed
title-pair-extraversion-high--agreeableness-high,title-rule-v1,40,輪舞へ踏み出す共演者,pair,character-pair-extraversion-high--agreeableness-high,result-text-pair-extraversion-high--agreeableness-high,palette-default,reviewed
title-pair-extraversion-high--agreeableness-low,title-rule-v1,41,自分の色を掲げる表明者,pair,character-pair-extraversion-high--agreeableness-low,result-text-pair-extraversion-high--agreeableness-low,palette-default,reviewed
title-pair-extraversion-low--agreeableness-high,title-rule-v1,42,寄り添う静観者,pair,character-pair-extraversion-low--agreeableness-high,result-text-pair-extraversion-low--agreeableness-high,palette-default,reviewed
title-pair-extraversion-low--agreeableness-low,title-rule-v1,43,一席を選ぶ滞在者,pair,character-pair-extraversion-low--agreeableness-low,result-text-pair-extraversion-low--agreeableness-low,palette-default,reviewed
title-pair-extraversion-high--emotionalStability-high,title-rule-v1,44,寛ぐ交遊者,pair,character-pair-extraversion-high--emotionalStability-high,result-text-pair-extraversion-high--emotionalStability-high,palette-default,reviewed
title-pair-extraversion-high--emotionalStability-low,title-rule-v1,45,ざわめきへ振り向く参加者,pair,character-pair-extraversion-high--emotionalStability-low,result-text-pair-extraversion-high--emotionalStability-low,palette-default,reviewed
title-pair-extraversion-low--emotionalStability-high,title-rule-v1,46,芽吹きを待つ滞在者,pair,character-pair-extraversion-low--emotionalStability-high,result-text-pair-extraversion-low--emotionalStability-high,palette-default,reviewed
title-pair-extraversion-low--emotionalStability-low,title-rule-v1,47,薄明に耳を向ける逗留者,pair,character-pair-extraversion-low--emotionalStability-low,result-text-pair-extraversion-low--emotionalStability-low,palette-default,reviewed
title-pair-agreeableness-high--emotionalStability-high,title-rule-v1,48,ふたつの杯の相席者,pair,character-pair-agreeableness-high--emotionalStability-high,result-text-pair-agreeableness-high--emotionalStability-high,palette-default,reviewed
title-pair-agreeableness-high--emotionalStability-low,title-rule-v1,49,揺れ布に並ぶ同伴者,pair,character-pair-agreeableness-high--emotionalStability-low,result-text-pair-agreeableness-high--emotionalStability-low,palette-default,reviewed
title-pair-agreeableness-low--emotionalStability-high,title-rule-v1,50,淡々たる表明者,pair,character-pair-agreeableness-low--emotionalStability-high,result-text-pair-agreeableness-low--emotionalStability-high,palette-default,reviewed
title-pair-agreeableness-low--emotionalStability-low,title-rule-v1,51,風鳴る戸口の掲示者,pair,character-pair-agreeableness-low--emotionalStability-low,result-text-pair-agreeableness-low--emotionalStability-low,palette-default,reviewed
